"","Reaction","Stimulus","Readout","drugScore","Boolean network activity","Group network activity"
"1","!AKT1=RAF1","ANTICD3","JUN","-0.00320659642693541","0","0"
"2","!AKT1=RAF1","ANTICD3","PTN11","-0.00320659642693541","0","0"
"3","!AKT1=RAF1","ANTICD3","IKBA","-0.00320659642693541","0","0"
"4","!AKT1=RAF1","ANTICD3","AKT1","-0.00320659642693541","0","0"
"5","!AKT1=RAF1","ANTICD3","MK12","-0.00320659642693541","0","0"
"6","!AKT1=RAF1","ANTICD3","STAT1","-0.00320659642693541","0","0"
"7","!AKT1=RAF1","ANTICD3","STAT3","-0.00320659642693541","0","0"
"8","!AKT1=RAF1","ANTICD3","MP2K1","-0.00320659642693541","0","0"
"9","!AKT1=RAF1","ANTICD3","MKO3","-0.00320659642693541","0","0"
"10","!AKT1=RAF1","ANTICD3","FAK1","-0.00320659642693541","0","0"
"11","!AKT1=RAF1","BDNF","JUN","-0.00320659642693541","0","0"
"12","!AKT1=RAF1","BDNF","PTN11","-0.00320659642693541","0","0"
"13","!AKT1=RAF1","BDNF","IKBA","-0.00320659642693541","0","0"
"14","!AKT1=RAF1","BDNF","AKT1","-0.00320659642693541","0","0"
"15","!AKT1=RAF1","BDNF","MK12","-0.00320659642693541","0","0"
"16","!AKT1=RAF1","BDNF","STAT1","-0.00320659642693541","0","0"
"17","!AKT1=RAF1","BDNF","STAT3","-0.00320659642693541","0","0"
"18","!AKT1=RAF1","BDNF","MP2K1","-0.00320659642693541","0","0"
"19","!AKT1=RAF1","BDNF","MKO3","-0.00320659642693541","0","0"
"20","!AKT1=RAF1","BDNF","FAK1","-0.00320659642693541","0","0"
"21","!AKT1=RAF1","BN201","JUN","-0.00320659642693541","0","0"
"22","!AKT1=RAF1","BN201","PTN11","-0.00320659642693541","0","0"
"23","!AKT1=RAF1","BN201","IKBA","-0.00320659642693541","0","0"
"24","!AKT1=RAF1","BN201","AKT1","-0.00320659642693541","0","0"
"25","!AKT1=RAF1","BN201","MK12","-0.00320659642693541","0","0"
"26","!AKT1=RAF1","BN201","STAT1","-0.00320659642693541","0","0"
"27","!AKT1=RAF1","BN201","STAT3","-0.00320659642693541","0","0"
"28","!AKT1=RAF1","BN201","MP2K1","-0.00320659642693541","0","0"
"29","!AKT1=RAF1","BN201","MKO3","-0.00320659642693541","0","0"
"30","!AKT1=RAF1","BN201","FAK1","-0.00320659642693541","0","0"
"31","!AKT1=RAF1","NACL","JUN","-0.00320659642693541","0","0"
"32","!AKT1=RAF1","NACL","PTN11","-0.00320659642693541","0","0"
"33","!AKT1=RAF1","NACL","IKBA","-0.00320659642693541","0","0"
"34","!AKT1=RAF1","NACL","AKT1","-0.00320659642693541","0","0"
"35","!AKT1=RAF1","NACL","MK12","-0.00320659642693541","0","0"
"36","!AKT1=RAF1","NACL","STAT1","-0.00320659642693541","0","0"
