"","Reaction","Stimulus","Readout","drugScore"
"1","IL1A=IL1R1","IL1A","HSPB1","-0.105606258148631"
"2","IL1A=IL1R1","IL1A","MK12","-0.105606258148631"
"3","IL1A=IL1R1","IL1A","MKO3","-0.105606258148631"
"4","IL1A=IL1R1","IL1A","STAT5","-0.105606258148631"
"5","JAK1=STAT6","REBIF","STAT6","-0.0560978188096831"
"6","!LCK=STAT5","IL1A","STAT5","-0.073046971352056"
"7","!LCK=STAT5","LPS","STAT5","-0.073046971352056"
"8","!LCK=STAT5","POLYIC","STAT5","-0.073046971352056"
"9","!LCK=STAT5","TNFA","STAT5","-0.073046971352056"
"10","MAP3K1=MK12","TNFA","HSPB1","-0.0253356355051271"
"11","MAP3K1=MK12","TNFA","MK12","-0.0253356355051271"
"12","MAP3K1=MK12","TNFA","MKO3","-0.0253356355051271"
"13","MAP3K1=MK12","TNFA","STAT5","-0.0253356355051271"
"14","MK12=SGK","IL1A","MKO3","-0.0700870361887311"
"15","MK12=SGK","IL1A","STAT5","-0.0700870361887311"
"16","MK12=SGK","LPS","MKO3","-0.0700870361887311"
"17","MK12=SGK","LPS","STAT5","-0.0700870361887311"
"18","MK12=SGK","POLYIC","MKO3","-0.0700870361887311"
"19","MK12=SGK","POLYIC","STAT5","-0.0700870361887311"
"20","MK12=SGK","TNFA","MKO3","-0.0700870361887311"
"21","MK12=SGK","TNFA","STAT5","-0.0700870361887311"
"22","PI3K=PIP3","INS","AKT1","-0.00651890482398965"
"23","REBIF=JAK1","REBIF","STAT6","-0.0904894464216498"
"24","SGK=MKO3","IL1A","MKO3","-0.141090242785158"
"25","SGK=MKO3","IL1A","STAT5","-0.141090242785158"
"26","SGK=MKO3","LPS","MKO3","-0.141090242785158"
"27","SGK=MKO3","LPS","STAT5","-0.141090242785158"
"28","SGK=MKO3","POLYIC","MKO3","-0.141090242785158"
"29","SGK=MKO3","POLYIC","STAT5","-0.141090242785158"
"30","SGK=MKO3","TNFA","MKO3","-0.141090242785158"
"31","SGK=MKO3","TNFA","STAT5","-0.141090242785158"
"32","TAK1=MK12","IL1A","HSPB1","-0.0482398956975228"
"33","TAK1=MK12","IL1A","MK12","-0.0482398956975228"
"34","TAK1=MK12","IL1A","MKO3","-0.0482398956975228"
"35","TAK1=MK12","IL1A","STAT5","-0.0482398956975228"
"36","TAK1=MK12","LPS","HSPB1","-0.0482398956975228"
"37","TAK1=MK12","LPS","MK12","-0.0482398956975228"
"38","TAK1=MK12","LPS","MKO3","-0.0482398956975228"
"39","TAK1=MK12","LPS","STAT5","-0.0482398956975228"
"40","TAK1=MK12","POLYIC","HSPB1","-0.0482398956975228"
"41","TAK1=MK12","POLYIC","MK12","-0.0482398956975228"
"42","TAK1=MK12","POLYIC","MKO3","-0.0482398956975228"
"43","TAK1=MK12","POLYIC","STAT5","-0.0482398956975228"
"44","MK12=HSPB1","IL1A","HSPB1","-0.276753937770887"
"45","MK12=HSPB1","LPS","HSPB1","-0.276753937770887"
"46","MK12=HSPB1","POLYIC","HSPB1","-0.276753937770887"
"47","MK12=HSPB1","TNFA","HSPB1","-0.276753937770887"
"48","!MKO3=LCK","IL1A","STAT5","-0.173755241551852"
"49","!MKO3=LCK","LPS","STAT5","-0.173755241551852"
"50","!MKO3=LCK","POLYIC","STAT5","-0.173755241551852"
"51","!MKO3=LCK","TNFA","STAT5","-0.173755241551852"
"52","TNFA=MAP3K1","TNFA","HSPB1","-0.0838295923041685"
"53","TNFA=MAP3K1","TNFA","MK12","-0.0838295923041685"
"54","TNFA=MAP3K1","TNFA","MKO3","-0.0838295923041685"
"55","TNFA=MAP3K1","TNFA","STAT5","-0.0838295923041685"
"56","IL1R1=TAK1","IL1A","HSPB1","-0.122555410691004"
"57","IL1R1=TAK1","IL1A","MK12","-0.122555410691004"
"58","IL1R1=TAK1","IL1A","MKO3","-0.122555410691004"
"59","IL1R1=TAK1","IL1A","STAT5","-0.122555410691004"
"60","POLYIC=TAK1","POLYIC","HSPB1","-0.135170372458508"
"61","POLYIC=TAK1","POLYIC","MK12","-0.135170372458508"
"62","POLYIC=TAK1","POLYIC","MKO3","-0.135170372458508"
"63","POLYIC=TAK1","POLYIC","STAT5","-0.135170372458508"
"64","LPS=TAK1","LPS","HSPB1","-0.186440677966102"
"65","LPS=TAK1","LPS","MK12","-0.186440677966102"
"66","LPS=TAK1","LPS","MKO3","-0.186440677966102"
"67","LPS=TAK1","LPS","STAT5","-0.186440677966102"
