"x"
"1","!AKT1=RAF1"
"2","BN201=SGK"
"3","!CBL=EGFR"
"4","!CBL=PGFRB"
"5","!CBL=PI3K"
"6","DMF=NF2L2"
"7","!EGCG=MKO3"
"8","!FYN=TCRP"
"9","IL6=GP130"
"10","JAK1=PTN11"
"11","LCK=FYN"
"12","!LCK=ZAP70"
"13","!MK12=TAK1"
"14","MP2K1=MKO3"
"15","NF2L2=CREB1"
"16","PI3K=PIP3"
"17","PKC=FAK1"
"18","PLCG1=DAG1"
"19","PLCG1=PKC"
"20","RAC1=MAP3K1"
"21","RAF1=SGK"
"22","RAS=MAP3K1"
"23","RAS=RAF1"
"24","SLP76=AKT1"
"25","!SOCS1=STAT1"
"26","STAT5=BCLXL"
"27","TAK1=MAP2K4"
"28","VAV=PLCG1"
"29","VAV=RAC1"
"30","ZAP70=SH3BP2"
"31","!BCLXL=FAK1"
"32","!KPCZ=FAK1"
"33","!SGK=FAK1"
"34","TAK1=IKBA"
"35","RAC1=MAP2K4"
"36","!P53=PIP3"
"37","!MKO3=LCK"
"38","!STAT3=GP130"
"39","CONA=STAT5"
"40","TNFA=IKBA"
"41","POLYIC=TAK1"
"42","LPS=TAK1"
"43","SH3BP2=RAC1"
"44","VITD3=STAT1"
