"","Reaction","Stimulus","Readout","drugScore"
"1","GP130=JAK1","IL6","STAT3","-0.0534432737822569"
"2","IL1A=IL1R1","IL1A","MK12","-0.130554283096656"
"3","IL1A=IL1R1","IL1A","MP2K1","-0.130554283096656"
"4","IL1A=IL1R1","IL1A","MKO3","-0.130554283096656"
"5","IL6=GP130","IL6","STAT3","-0.0671858298976944"
"6","JAK1=STAT3","REBIF","STAT3","-0.141242937853107"
"7","JAK1=STAT3","IL6","STAT3","-0.141242937853107"
"8","MAP3K1=MAP2K4","BDNF","MK12","-0.198045503130249"
"9","MAP3K1=MAP2K4","BDNF","MP2K1","-0.198045503130249"
"10","MAP3K1=MAP2K4","BDNF","MKO3","-0.198045503130249"
"11","MAP3K1=MAP2K4","IL1A","MK12","-0.198045503130249"
"12","MAP3K1=MAP2K4","IL1A","MP2K1","-0.198045503130249"
"13","MAP3K1=MAP2K4","IL1A","MKO3","-0.198045503130249"
"14","MAP3K1=MAP2K4","LPS","MK12","-0.198045503130249"
"15","MAP3K1=MAP2K4","LPS","MP2K1","-0.198045503130249"
"16","MAP3K1=MAP2K4","LPS","MKO3","-0.198045503130249"
"17","MAP3K1=MAP2K4","POLYIC","MK12","-0.198045503130249"
"18","MAP3K1=MAP2K4","POLYIC","MP2K1","-0.198045503130249"
"19","MAP3K1=MAP2K4","POLYIC","MKO3","-0.198045503130249"
"20","MAP3K1=MAP2K4","CONA","MK12","-0.198045503130249"
"21","MAP3K1=MAP2K4","CONA","MP2K1","-0.198045503130249"
"22","MAP3K1=MAP2K4","CONA","MKO3","-0.198045503130249"
"23","MAP3K1=MAP2K4","TNFA","MK12","-0.198045503130249"
"24","MAP3K1=MAP2K4","TNFA","MP2K1","-0.198045503130249"
"25","MAP3K1=MAP2K4","TNFA","MKO3","-0.198045503130249"
"26","MK12=SGK","BDNF","MK12","-0.0700870361887311"
"27","MK12=SGK","BDNF","MP2K1","-0.0700870361887311"
"28","MK12=SGK","BDNF","MKO3","-0.0700870361887311"
"29","MK12=SGK","IL1A","MK12","-0.0700870361887311"
"30","MK12=SGK","IL1A","MP2K1","-0.0700870361887311"
"31","MK12=SGK","IL1A","MKO3","-0.0700870361887311"
"32","MK12=SGK","LPS","MK12","-0.0700870361887311"
"33","MK12=SGK","LPS","MP2K1","-0.0700870361887311"
"34","MK12=SGK","LPS","MKO3","-0.0700870361887311"
"35","MK12=SGK","POLYIC","MK12","-0.0700870361887311"
"36","MK12=SGK","POLYIC","MP2K1","-0.0700870361887311"
"37","MK12=SGK","POLYIC","MKO3","-0.0700870361887311"
"38","MK12=SGK","CONA","MK12","-0.0700870361887311"
"39","MK12=SGK","CONA","MP2K1","-0.0700870361887311"
"40","MK12=SGK","CONA","MKO3","-0.0700870361887311"
"41","MK12=SGK","TNFA","MK12","-0.0700870361887311"
"42","MK12=SGK","TNFA","MP2K1","-0.0700870361887311"
"43","MK12=SGK","TNFA","MKO3","-0.0700870361887311"
"44","RAF1=MP2K1","BDNF","MP2K1","-0.0112994350282486"
"45","RAF1=MP2K1","IL1A","MP2K1","-0.0112994350282486"
"46","RAF1=MP2K1","LPS","MP2K1","-0.0112994350282486"
"47","RAF1=MP2K1","POLYIC","MP2K1","-0.0112994350282486"
"48","RAF1=MP2K1","CONA","MP2K1","-0.0112994350282486"
"49","RAF1=MP2K1","TNFA","MP2K1","-0.0112994350282486"
"50","RAS=MAP3K1","BDNF","MK12","-0.565277141548328"
"51","RAS=MAP3K1","BDNF","MP2K1","-0.565277141548328"
"52","RAS=MAP3K1","BDNF","MKO3","-0.565277141548328"
"53","RAS=MAP3K1","IL1A","MK12","-0.565277141548328"
"54","RAS=MAP3K1","IL1A","MP2K1","-0.565277141548328"
"55","RAS=MAP3K1","IL1A","MKO3","-0.565277141548328"
"56","RAS=MAP3K1","LPS","MK12","-0.565277141548328"
"57","RAS=MAP3K1","LPS","MP2K1","-0.565277141548328"
"58","RAS=MAP3K1","LPS","MKO3","-0.565277141548328"
"59","RAS=MAP3K1","POLYIC","MK12","-0.565277141548328"
"60","RAS=MAP3K1","POLYIC","MP2K1","-0.565277141548328"
"61","RAS=MAP3K1","POLYIC","MKO3","-0.565277141548328"
"62","RAS=MAP3K1","CONA","MK12","-0.565277141548328"
"63","RAS=MAP3K1","CONA","MP2K1","-0.565277141548328"
"64","RAS=MAP3K1","CONA","MKO3","-0.565277141548328"
"65","RAS=MAP3K1","TNFA","MK12","-0.565277141548328"
"66","RAS=MAP3K1","TNFA","MP2K1","-0.565277141548328"
"67","RAS=MAP3K1","TNFA","MKO3","-0.565277141548328"
"68","RAS=RAF1","BDNF","MP2K1","-0.0621468926553672"
"69","RAS=RAF1","IL1A","MP2K1","-0.0621468926553672"
"70","RAS=RAF1","LPS","MP2K1","-0.0621468926553672"
"71","RAS=RAF1","POLYIC","MP2K1","-0.0621468926553672"
"72","RAS=RAF1","CONA","MP2K1","-0.0621468926553672"
"73","RAS=RAF1","TNFA","MP2K1","-0.0621468926553672"
"74","SGK=MKO3","BDNF","MK12","-0.141090242785158"
"75","SGK=MKO3","BDNF","MP2K1","-0.141090242785158"
"76","SGK=MKO3","BDNF","MKO3","-0.141090242785158"
"77","SGK=MKO3","IL1A","MK12","-0.141090242785158"
"78","SGK=MKO3","IL1A","MP2K1","-0.141090242785158"
