V1,V2,V3
1,AKT1,1,GSK3A
2,CBL,-1,ZAP70
3,EGCG,-1,EGFR
4,EGFR,1,CBL
5,GP130,1,JAK1
6,IFNG,1,JAK1
7,IL1A,1,IL1R1
8,IL6,1,GP130
9,JAK1,1,STAT6
10,LCK,-1,PI3K
11,LCK,-1,STAT5
12,MAP3K1,1,MK12
13,MK12,1,SGK
14,PI3K,1,PIP3
15,PIP3,1,AKT1
16,PLCG1,1,DAG1
17,RAC1,1,MAP3K1
18,RAF1,1,MP2K1
19,RAS,1,MAP3K1
20,RAS,1,RAF1
21,REBIF,1,JAK1
22,SGK,1,MKO3
23,TCRP,1,ZAP70
24,VAV,1,RAC1
25,PAG,1,LCK
26,DAG1,1,RAS
27,INS,1,PI3K
28,PIP3,1,PLCG1
29,TAK1,1,MK12
30,BDNF,1,GRB2
31,MK12,1,HSPB1
32,MKO3,-1,LCK
33,STAT3,-1,GP130
34,GRB2,1,RAS
35,CONA,1,VAV
36,ANTICD3,1,TCRP
37,TNFA,1,MAP3K1
38,IL1R1,1,TAK1
39,POLYIC,1,TAK1
40,LPS,1,TAK1
