"","Reaction","Stimulus","Readout","drugScore","Boolean network activity","Group network activity"
"1","JAK1=STAT1","REBIF","STAT1","-1","0","0"
"2","JAK1=STAT1","IL6","STAT1","-1","0","0"
"3","!LCK=STAT3","BDNF","STAT3","-1","1","1"
"4","!LCK=STAT3","IL1A","STAT3","-1","1","1"
"5","!LCK=STAT3","LPS","STAT3","-1","1","1"
"6","!LCK=STAT3","POLYIC","STAT3","-1","1","1"
"7","!LCK=STAT3","CONA","STAT3","-1","1","1"
"8","!LCK=STAT3","TNFA","STAT3","-1","1","1"
"9","!LCK=STAT5","BDNF","STAT5","-1","1","1"
"10","!LCK=STAT5","IL1A","STAT5","-1","1","1"
"11","!LCK=STAT5","LPS","STAT5","-1","1","1"
"12","!LCK=STAT5","POLYIC","STAT5","-1","1","1"
"13","!LCK=STAT5","CONA","STAT5","-1","1","1"
"14","!LCK=STAT5","TNFA","STAT5","-1","1","1"
"15","MAP3K1=MAP2K4","BDNF","MK12","-1","1","1"
"16","MAP3K1=MAP2K4","BDNF","STAT3","-1","1","1"
"17","MAP3K1=MAP2K4","BDNF","MP2K1","-1","1","1"
"18","MAP3K1=MAP2K4","BDNF","MKO3","-1","1","1"
"19","MAP3K1=MAP2K4","BDNF","STAT5","-1","1","1"
"20","MAP3K1=MAP2K4","IL1A","MK12","-1","1","1"
"21","MAP3K1=MAP2K4","IL1A","STAT3","-1","1","1"
"22","MAP3K1=MAP2K4","IL1A","MP2K1","-1","1","1"
"23","MAP3K1=MAP2K4","IL1A","MKO3","-1","1","1"
"24","MAP3K1=MAP2K4","IL1A","STAT5","-1","1","1"
"25","MAP3K1=MAP2K4","LPS","MK12","-1","1","1"
"26","MAP3K1=MAP2K4","LPS","STAT3","-1","1","1"
"27","MAP3K1=MAP2K4","LPS","MP2K1","-1","1","1"
"28","MAP3K1=MAP2K4","LPS","MKO3","-1","1","1"
"29","MAP3K1=MAP2K4","LPS","STAT5","-1","1","1"
"30","MAP3K1=MAP2K4","POLYIC","MK12","-1","1","1"
"31","MAP3K1=MAP2K4","POLYIC","STAT3","-1","1","1"
"32","MAP3K1=MAP2K4","POLYIC","MP2K1","-1","1","1"
"33","MAP3K1=MAP2K4","POLYIC","MKO3","-1","1","1"
"34","MAP3K1=MAP2K4","POLYIC","STAT5","-1","1","1"
"35","MAP3K1=MAP2K4","CONA","MK12","-1","1","1"
"36","MAP3K1=MAP2K4","CONA","STAT3","-1","1","1"
"37","MAP3K1=MAP2K4","CONA","MP2K1","-1","1","1"
"38","MAP3K1=MAP2K4","CONA","MKO3","-1","1","1"
"39","MAP3K1=MAP2K4","CONA","STAT5","-1","1","1"
"40","MAP3K1=MAP2K4","TNFA","MK12","-1","1","1"
"41","MAP3K1=MAP2K4","TNFA","STAT3","-1","1","1"
"42","MAP3K1=MAP2K4","TNFA","MP2K1","-1","1","1"
"43","MAP3K1=MAP2K4","TNFA","MKO3","-1","1","1"
"44","MAP3K1=MAP2K4","TNFA","STAT5","-1","1","1"
"45","MAP3K1=MK12","BDNF","MK12","-1","0","0"
"46","MAP3K1=MK12","BDNF","STAT3","-1","0","0"
"47","MAP3K1=MK12","BDNF","MP2K1","-1","0","0"
"48","MAP3K1=MK12","BDNF","MKO3","-1","0","0"
"49","MAP3K1=MK12","BDNF","STAT5","-1","0","0"
"50","MAP3K1=MK12","IL1A","MK12","-1","0","0"
"51","MAP3K1=MK12","IL1A","STAT3","-1","0","0"
"52","MAP3K1=MK12","IL1A","MP2K1","-1","0","0"
"53","MAP3K1=MK12","IL1A","MKO3","-1","0","0"
"54","MAP3K1=MK12","IL1A","STAT5","-1","0","0"
"55","MAP3K1=MK12","LPS","MK12","-1","0","0"
"56","MAP3K1=MK12","LPS","STAT3","-1","0","0"
"57","MAP3K1=MK12","LPS","MP2K1","-1","0","0"
"58","MAP3K1=MK12","LPS","MKO3","-1","0","0"
"59","MAP3K1=MK12","LPS","STAT5","-1","0","0"
"60","MAP3K1=MK12","POLYIC","MK12","-1","0","0"
"61","MAP3K1=MK12","POLYIC","STAT3","-1","0","0"
"62","MAP3K1=MK12","POLYIC","MP2K1","-1","0","0"
"63","MAP3K1=MK12","POLYIC","MKO3","-1","0","0"
"64","MAP3K1=MK12","POLYIC","STAT5","-1","0","0"
"65","MAP3K1=MK12","CONA","MK12","-1","0","0"
"66","MAP3K1=MK12","CONA","STAT3","-1","0","0"
"67","MAP3K1=MK12","CONA","MP2K1","-1","0","0"
"68","MAP3K1=MK12","CONA","MKO3","-1","0","0"
"69","MAP3K1=MK12","CONA","STAT5","-1","0","0"
"70","MAP3K1=MK12","TNFA","MK12","-1","0","0"
"71","MAP3K1=MK12","TNFA","STAT3","-1","0","0"
"72","MAP3K1=MK12","TNFA","MP2K1","-1","0","0"
"73","MAP3K1=MK12","TNFA","MKO3","-1","0","0"
"74","MAP3K1=MK12","TNFA","STAT5","-1","0","0"
"75","RAS=MAP3K1","BDNF","MK12","-1","1","1"
"76","RAS=MAP3K1","BDNF","STAT3","-1","1","1"
"77","RAS=MAP3K1","BDNF","MP2K1","-1","1","1"
"78","RAS=MAP3K1","BDNF","MKO3","-1","1","1"
"79","RAS=MAP3K1","BDNF","STAT5","-1","1","1"
"80","RAS=MAP3K1","IL1A","MK12","-1","1","1"
"81","RAS=MAP3K1","IL1A","STAT3","-1","1","1"
"82","RAS=MAP3K1","IL1A","MP2K1","-1","1","1"
"83","RAS=MAP3K1","IL1A","MKO3","-1","1","1"
"84","RAS=MAP3K1","IL1A","STAT5","-1","1","1"
"85","RAS=MAP3K1","LPS","MK12","-1","1","1"
"86","RAS=MAP3K1","LPS","STAT3","-1","1","1"
"87","RAS=MAP3K1","LPS","MP2K1","-1","1","1"
"88","RAS=MAP3K1","LPS","MKO3","-1","1","1"
"89","RAS=MAP3K1","LPS","STAT5","-1","1","1"
"90","RAS=MAP3K1","POLYIC","MK12","-1","1","1"
"91","RAS=MAP3K1","POLYIC","STAT3","-1","1","1"
"92","RAS=MAP3K1","POLYIC","MP2K1","-1","1","1"
"93","RAS=MAP3K1","POLYIC","MKO3","-1","1","1"
"94","RAS=MAP3K1","POLYIC","STAT5","-1","1","1"
"95","RAS=MAP3K1","CONA","MK12","-1","1","1"
"96","RAS=MAP3K1","CONA","STAT3","-1","1","1"
"97","RAS=MAP3K1","CONA","MP2K1","-1","1","1"
"98","RAS=MAP3K1","CONA","MKO3","-1","1","1"
"99","RAS=MAP3K1","CONA","STAT5","-1","1","1"
"100","RAS=MAP3K1","TNFA","MK12","-1","1","1"
"101","RAS=MAP3K1","TNFA","STAT3","-1","1","1"
"102","RAS=MAP3K1","TNFA","MP2K1","-1","1","1"
"103","RAS=MAP3K1","TNFA","MKO3","-1","1","1"
"104","RAS=MAP3K1","TNFA","STAT5","-1","1","1"
"105","TAK1=MAP2K4","IL1A","MK12","-1","1","1"
"106","TAK1=MAP2K4","IL1A","STAT3","-1","1","1"
"107","TAK1=MAP2K4","IL1A","MP2K1","-1","1","1"
"108","TAK1=MAP2K4","IL1A","MKO3","-1","1","1"
"109","TAK1=MAP2K4","IL1A","STAT5","-1","1","1"
"110","TAK1=MAP2K4","LPS","MK12","-1","1","1"
"111","TAK1=MAP2K4","LPS","STAT3","-1","1","1"
"112","TAK1=MAP2K4","LPS","MP2K1","-1","1","1"
"113","TAK1=MAP2K4","LPS","MKO3","-1","1","1"
"114","TAK1=MAP2K4","LPS","STAT5","-1","1","1"
"115","TAK1=MAP2K4","POLYIC","MK12","-1","1","1"
"116","TAK1=MAP2K4","POLYIC","STAT3","-1","1","1"
"117","TAK1=MAP2K4","POLYIC","MP2K1","-1","1","1"
"118","TAK1=MAP2K4","POLYIC","MKO3","-1","1","1"
"119","TAK1=MAP2K4","POLYIC","STAT5","-1","1","1"
"120","ZAP70=GRB2","BDNF","MK12","-1","1","1"
"121","ZAP70=GRB2","BDNF","STAT3","-1","1","1"
"122","ZAP70=GRB2","BDNF","MP2K1","-1","1","1"
"123","ZAP70=GRB2","BDNF","MKO3","-1","1","1"
"124","ZAP70=GRB2","BDNF","STAT5","-1","1","1"
"125","ZAP70=GRB2","IL1A","MK12","-1","1","1"
"126","ZAP70=GRB2","IL1A","STAT3","-1","1","1"
"127","ZAP70=GRB2","IL1A","MP2K1","-1","1","1"
"128","ZAP70=GRB2","IL1A","MKO3","-1","1","1"
"129","ZAP70=GRB2","IL1A","STAT5","-1","1","1"
"130","ZAP70=GRB2","LPS","MK12","-1","1","1"
"131","ZAP70=GRB2","LPS","STAT3","-1","1","1"
"132","ZAP70=GRB2","LPS","MP2K1","-1","1","1"
"133","ZAP70=GRB2","LPS","MKO3","-1","1","1"
"134","ZAP70=GRB2","LPS","STAT5","-1","1","1"
"135","ZAP70=GRB2","POLYIC","MK12","-1","1","1"
"136","ZAP70=GRB2","POLYIC","STAT3","-1","1","1"
"137","ZAP70=GRB2","POLYIC","MP2K1","-1","1","1"
"138","ZAP70=GRB2","POLYIC","MKO3","-1","1","1"
"139","ZAP70=GRB2","POLYIC","STAT5","-1","1","1"
"140","ZAP70=GRB2","CONA","MK12","-1","1","1"
"141","ZAP70=GRB2","CONA","STAT3","-1","1","1"
"142","ZAP70=GRB2","CONA","MP2K1","-1","1","1"
"143","ZAP70=GRB2","CONA","MKO3","-1","1","1"
"144","ZAP70=GRB2","CONA","STAT5","-1","1","1"
"145","ZAP70=GRB2","TNFA","MK12","-1","1","1"
"146","ZAP70=GRB2","TNFA","STAT3","-1","1","1"
"147","ZAP70=GRB2","TNFA","MP2K1","-1","1","1"
"148","ZAP70=GRB2","TNFA","MKO3","-1","1","1"
"149","ZAP70=GRB2","TNFA","STAT5","-1","1","1"
"150","TAK1=MK12","IL1A","MK12","-1","0","0"
"151","TAK1=MK12","IL1A","STAT3","-1","0","0"
"152","TAK1=MK12","IL1A","MP2K1","-1","0","0"
"153","TAK1=MK12","IL1A","MKO3","-1","0","0"
"154","TAK1=MK12","IL1A","STAT5","-1","0","0"
"155","TAK1=MK12","LPS","MK12","-1","0","0"
"156","TAK1=MK12","LPS","STAT3","-1","0","0"
"157","TAK1=MK12","LPS","MP2K1","-1","0","0"
"158","TAK1=MK12","LPS","MKO3","-1","0","0"
"159","TAK1=MK12","LPS","STAT5","-1","0","0"
"160","TAK1=MK12","POLYIC","MK12","-1","0","0"
"161","TAK1=MK12","POLYIC","STAT3","-1","0","0"
"162","TAK1=MK12","POLYIC","MP2K1","-1","0","0"
"163","TAK1=MK12","POLYIC","MKO3","-1","0","0"
"164","TAK1=MK12","POLYIC","STAT5","-1","0","0"
"165","!MKO3=LCK","BDNF","STAT3","-1","0","0"
"166","!MKO3=LCK","BDNF","STAT5","-1","0","0"
