"","Reaction","Stimulus","Readout","drugScore"
"1","MAP3K1=MAP2K4","BDNF","MK12","-1"
"2","MAP3K1=MAP2K4","BDNF","MP2K1","-1"
"3","MAP3K1=MAP2K4","BDNF","MKO3","-1"
"4","MAP3K1=MAP2K4","IL1A","MK12","-1"
"5","MAP3K1=MAP2K4","IL1A","MP2K1","-1"
"6","MAP3K1=MAP2K4","IL1A","MKO3","-1"
"7","MAP3K1=MAP2K4","LPS","MK12","-1"
"8","MAP3K1=MAP2K4","LPS","MP2K1","-1"
"9","MAP3K1=MAP2K4","LPS","MKO3","-1"
"10","MAP3K1=MAP2K4","POLYIC","MK12","-1"
"11","MAP3K1=MAP2K4","POLYIC","MP2K1","-1"
"12","MAP3K1=MAP2K4","POLYIC","MKO3","-1"
"13","MAP3K1=MAP2K4","CONA","MK12","-1"
"14","MAP3K1=MAP2K4","CONA","MP2K1","-1"
"15","MAP3K1=MAP2K4","CONA","MKO3","-1"
"16","MAP3K1=MAP2K4","TNFA","MK12","-1"
"17","MAP3K1=MAP2K4","TNFA","MP2K1","-1"
"18","MAP3K1=MAP2K4","TNFA","MKO3","-1"
"19","RAS=MAP3K1","BDNF","MK12","-1"
"20","RAS=MAP3K1","BDNF","MP2K1","-1"
"21","RAS=MAP3K1","BDNF","MKO3","-1"
"22","RAS=MAP3K1","IL1A","MK12","-1"
"23","RAS=MAP3K1","IL1A","MP2K1","-1"
"24","RAS=MAP3K1","IL1A","MKO3","-1"
"25","RAS=MAP3K1","LPS","MK12","-1"
"26","RAS=MAP3K1","LPS","MP2K1","-1"
"27","RAS=MAP3K1","LPS","MKO3","-1"
"28","RAS=MAP3K1","POLYIC","MK12","-1"
"29","RAS=MAP3K1","POLYIC","MP2K1","-1"
"30","RAS=MAP3K1","POLYIC","MKO3","-1"
"31","RAS=MAP3K1","CONA","MK12","-1"
"32","RAS=MAP3K1","CONA","MP2K1","-1"
"33","RAS=MAP3K1","CONA","MKO3","-1"
"34","RAS=MAP3K1","TNFA","MK12","-1"
"35","RAS=MAP3K1","TNFA","MP2K1","-1"
"36","RAS=MAP3K1","TNFA","MKO3","-1"
"37","TAK1=MAP2K4","IL1A","MK12","-1"
"38","TAK1=MAP2K4","IL1A","MP2K1","-1"
"39","TAK1=MAP2K4","IL1A","MKO3","-1"
"40","TAK1=MAP2K4","LPS","MK12","-1"
"41","TAK1=MAP2K4","LPS","MP2K1","-1"
"42","TAK1=MAP2K4","LPS","MKO3","-1"
"43","TAK1=MAP2K4","POLYIC","MK12","-1"
"44","TAK1=MAP2K4","POLYIC","MP2K1","-1"
"45","TAK1=MAP2K4","POLYIC","MKO3","-1"
"46","ZAP70=GRB2","BDNF","MK12","-1"
"47","ZAP70=GRB2","BDNF","MP2K1","-1"
"48","ZAP70=GRB2","BDNF","MKO3","-1"
"49","ZAP70=GRB2","IL1A","MK12","-1"
"50","ZAP70=GRB2","IL1A","MP2K1","-1"
"51","ZAP70=GRB2","IL1A","MKO3","-1"
"52","ZAP70=GRB2","LPS","MK12","-1"
"53","ZAP70=GRB2","LPS","MP2K1","-1"
"54","ZAP70=GRB2","LPS","MKO3","-1"
"55","ZAP70=GRB2","POLYIC","MK12","-1"
"56","ZAP70=GRB2","POLYIC","MP2K1","-1"
"57","ZAP70=GRB2","POLYIC","MKO3","-1"
"58","ZAP70=GRB2","CONA","MK12","-1"
"59","ZAP70=GRB2","CONA","MP2K1","-1"
"60","ZAP70=GRB2","CONA","MKO3","-1"
"61","ZAP70=GRB2","TNFA","MK12","-1"
"62","ZAP70=GRB2","TNFA","MP2K1","-1"
"63","ZAP70=GRB2","TNFA","MKO3","-1"
"64","MKO3=ZAP70","BDNF","MK12","-1"
"65","MKO3=ZAP70","BDNF","MP2K1","-1"
"66","MKO3=ZAP70","BDNF","MKO3","-1"
"67","MKO3=ZAP70","IL1A","MK12","-1"
"68","MKO3=ZAP70","IL1A","MP2K1","-1"
"69","MKO3=ZAP70","IL1A","MKO3","-1"
"70","MKO3=ZAP70","LPS","MK12","-1"
"71","MKO3=ZAP70","LPS","MP2K1","-1"
"72","MKO3=ZAP70","LPS","MKO3","-1"
"73","MKO3=ZAP70","POLYIC","MK12","-1"
"74","MKO3=ZAP70","POLYIC","MP2K1","-1"
"75","MKO3=ZAP70","POLYIC","MKO3","-1"
"76","MKO3=ZAP70","CONA","MK12","-1"
"77","MKO3=ZAP70","CONA","MP2K1","-1"
"78","MKO3=ZAP70","CONA","MKO3","-1"
"79","MKO3=ZAP70","TNFA","MK12","-1"
"80","MKO3=ZAP70","TNFA","MP2K1","-1"
"81","MKO3=ZAP70","TNFA","MKO3","-1"
"82","CONA=GRB2","CONA","MK12","-1"
"83","CONA=GRB2","CONA","MP2K1","-1"
"84","CONA=GRB2","CONA","MKO3","-1"
