V1,V2,V3
1,AKT1,1,GSK3A
2,CBL,-1,ZAP70
3,EGCG,-1,EGFR
4,EGFR,1,CBL
5,GP130,1,JAK1
6,IFNG,1,JAK1
7,IL1A,1,IL1R1
8,IL6,1,GP130
9,JAK1,1,STAT1
10,JAK1,1,STAT6
11,LCK,-1,PI3K
12,LCK,-1,STAT5
13,MAP2K4,1,MK12
14,MAP3K1,1,MAP2K4
15,MAP3K1,1,MK12
16,MK12,1,SGK
17,PI3K,1,PIP3
18,PIP3,1,AKT1
19,PLCG1,1,DAG1
20,RAC1,1,MAP3K1
21,RAF1,1,MP2K1
22,RAS,1,MAP3K1
23,RAS,1,RAF1
24,REBIF,1,JAK1
25,SGK,1,MKO3
26,TCRP,1,ZAP70
27,VAV,1,RAC1
28,PAG,1,LCK
29,DAG1,1,RAS
30,INS,1,PI3K
31,PIP3,1,PLCG1
32,ZAP70,1,GRB2
33,TAK1,1,MK12
34,NACL,1,MK12
35,BDNF,1,GRB2
36,MK12,1,HSPB1
37,MKO3,-1,LCK
38,STAT3,-1,GP130
39,GRB2,1,RAS
40,CONA,1,VAV
41,ANTICD3,-1,FYN
42,ANTICD3,1,TCRP
43,TNFA,1,MAP3K1
44,IL1R1,1,TAK1
45,POLYIC,1,TAK1
46,LPS,1,TAK1
