"","Reaction","Stimulus","Readout","drugScore","Boolean network activity","Group network activity"
"1","AKT1=GSK3A","INS","GSK3A","-0.338983050847458","0","0"
"2","JAK1=STAT3","REBIF","STAT3","0","1","0.666666666666667"
"3","JAK1=STAT3","IL6","STAT3","0","1","0.666666666666667"
"4","PI3K=PIP3","INS","AKT1","-0.363414261719346","0","0.333333333333333"
"5","PI3K=PIP3","INS","GSK3A","-0.363414261719346","0","0.333333333333333"
"6","PIP3=AKT1","INS","AKT1","-0.308749427393495","0","0"
"7","PIP3=AKT1","INS","GSK3A","-0.308749427393495","0","0"
"8","RAS=MAP3K1","BDNF","MK12","-0.565277141548328","1","1"
"9","RAS=MAP3K1","BDNF","MP2K1","-0.565277141548328","1","1"
"10","RAS=MAP3K1","BDNF","MKO3","-0.565277141548328","1","1"
"11","RAS=MAP3K1","IL1A","MK12","-0.565277141548328","1","1"
"12","RAS=MAP3K1","IL1A","MP2K1","-0.565277141548328","1","1"
"13","RAS=MAP3K1","IL1A","MKO3","-0.565277141548328","1","1"
"14","RAS=MAP3K1","LPS","MK12","-0.565277141548328","1","1"
"15","RAS=MAP3K1","LPS","MP2K1","-0.565277141548328","1","1"
"16","RAS=MAP3K1","LPS","MKO3","-0.565277141548328","1","1"
"17","RAS=MAP3K1","POLYIC","MK12","-0.565277141548328","1","1"
"18","RAS=MAP3K1","POLYIC","MP2K1","-0.565277141548328","1","1"
"19","RAS=MAP3K1","POLYIC","MKO3","-0.565277141548328","1","1"
"20","RAS=MAP3K1","CONA","MK12","-0.565277141548328","1","1"
"21","RAS=MAP3K1","CONA","MP2K1","-0.565277141548328","1","1"
"22","RAS=MAP3K1","CONA","MKO3","-0.565277141548328","1","1"
"23","RAS=MAP3K1","TNFA","MK12","-0.565277141548328","1","1"
"24","RAS=MAP3K1","TNFA","MP2K1","-0.565277141548328","1","1"
"25","RAS=MAP3K1","TNFA","MKO3","-0.565277141548328","1","1"
"26","TAK1=MAP2K4","IL1A","MK12","-0.360207665292411","1","0.666666666666667"
"27","TAK1=MAP2K4","IL1A","MP2K1","-0.360207665292411","1","0.666666666666667"
"28","TAK1=MAP2K4","IL1A","MKO3","-0.360207665292411","1","0.666666666666667"
"29","TAK1=MAP2K4","LPS","MK12","-0.360207665292411","1","0.666666666666667"
"30","TAK1=MAP2K4","LPS","MP2K1","-0.360207665292411","1","0.666666666666667"
"31","TAK1=MAP2K4","LPS","MKO3","-0.360207665292411","1","0.666666666666667"
"32","TAK1=MAP2K4","POLYIC","MK12","-0.360207665292411","1","0.666666666666667"
"33","TAK1=MAP2K4","POLYIC","MP2K1","-0.360207665292411","1","0.666666666666667"
"34","TAK1=MAP2K4","POLYIC","MKO3","-0.360207665292411","1","0.666666666666667"
"35","BDNF=GRB2","BDNF","MK12","-0.228126431516262","1","1"
"36","BDNF=GRB2","BDNF","MP2K1","-0.228126431516262","1","1"
"37","BDNF=GRB2","BDNF","MKO3","-0.228126431516262","1","1"
"38","GRB2=RAS","BDNF","MK12","-0.278973889143381","1","1"
"39","GRB2=RAS","BDNF","MP2K1","-0.278973889143381","1","1"
"40","GRB2=RAS","BDNF","MKO3","-0.278973889143381","1","1"
"41","GRB2=RAS","IL1A","MK12","-0.278973889143381","1","1"
"42","GRB2=RAS","IL1A","MP2K1","-0.278973889143381","1","1"
"43","GRB2=RAS","IL1A","MKO3","-0.278973889143381","1","1"
"44","GRB2=RAS","LPS","MK12","-0.278973889143381","1","1"
"45","GRB2=RAS","LPS","MP2K1","-0.278973889143381","1","1"
"46","GRB2=RAS","LPS","MKO3","-0.278973889143381","1","1"
"47","GRB2=RAS","POLYIC","MK12","-0.278973889143381","1","1"
"48","GRB2=RAS","POLYIC","MP2K1","-0.278973889143381","1","1"
"49","GRB2=RAS","POLYIC","MKO3","-0.278973889143381","1","1"
"50","GRB2=RAS","CONA","MK12","-0.278973889143381","1","1"
"51","GRB2=RAS","CONA","MP2K1","-0.278973889143381","1","1"
"52","GRB2=RAS","CONA","MKO3","-0.278973889143381","1","1"
"53","GRB2=RAS","TNFA","MK12","-0.278973889143381","1","1"
"54","GRB2=RAS","TNFA","MP2K1","-0.278973889143381","1","1"
"55","GRB2=RAS","TNFA","MKO3","-0.278973889143381","1","1"
"56","CONA=GRB2","CONA","MK12","-0.327683615819209","1","0.666666666666667"
"57","CONA=GRB2","CONA","MP2K1","-0.327683615819209","1","0.666666666666667"
"58","CONA=GRB2","CONA","MKO3","-0.327683615819209","1","0.666666666666667"
