"","Reaction","Stimulus","Readout","drugScore","Boolean network activity","Group network activity"
"1","JAK1=STAT1","REBIF","STAT1","-1","0","0"
"2","JAK1=STAT1","IL6","STAT1","-1","0","0"
"3","JAK1=STAT3","REBIF","STAT3","0","1","1"
"4","JAK1=STAT3","IL6","STAT3","0","1","1"
"5","!LCK=STAT3","BDNF","STAT3","-1","1","1"
"6","!LCK=STAT3","NACL","STAT3","-1","1","1"
"7","!LCK=STAT3","IL1A","STAT3","-1","1","1"
"8","!LCK=STAT3","LPS","STAT3","-1","1","1"
"9","!LCK=STAT3","POLYIC","STAT3","-1","1","1"
"10","!LCK=STAT3","CONA","STAT3","-1","1","1"
"11","!LCK=STAT3","TNFA","STAT3","-1","1","1"
"12","!LCK=STAT5","BDNF","STAT5","-1","1","1"
"13","!LCK=STAT5","NACL","STAT5","-1","1","1"
"14","!LCK=STAT5","IL1A","STAT5","-1","1","1"
"15","!LCK=STAT5","LPS","STAT5","-1","1","1"
"16","!LCK=STAT5","POLYIC","STAT5","-1","1","1"
"17","!LCK=STAT5","CONA","STAT5","-1","1","1"
"18","!LCK=STAT5","TNFA","STAT5","-1","1","1"
"19","MAP3K1=MAP2K4","BDNF","HSPB1","-1","1","1"
"20","MAP3K1=MAP2K4","BDNF","MK12","-1","1","1"
"21","MAP3K1=MAP2K4","BDNF","STAT3","-1","1","1"
"22","MAP3K1=MAP2K4","BDNF","MP2K1","-1","1","1"
"23","MAP3K1=MAP2K4","BDNF","MKO3","-1","1","1"
"24","MAP3K1=MAP2K4","BDNF","STAT5","-1","1","1"
"25","MAP3K1=MAP2K4","NACL","HSPB1","-1","1","1"
"26","MAP3K1=MAP2K4","NACL","MK12","-1","1","1"
"27","MAP3K1=MAP2K4","NACL","STAT3","-1","1","1"
"28","MAP3K1=MAP2K4","NACL","MP2K1","-1","1","1"
"29","MAP3K1=MAP2K4","NACL","MKO3","-1","1","1"
"30","MAP3K1=MAP2K4","NACL","STAT5","-1","1","1"
"31","MAP3K1=MAP2K4","IL1A","HSPB1","-1","1","1"
"32","MAP3K1=MAP2K4","IL1A","MK12","-1","1","1"
"33","MAP3K1=MAP2K4","IL1A","STAT3","-1","1","1"
"34","MAP3K1=MAP2K4","IL1A","MP2K1","-1","1","1"
"35","MAP3K1=MAP2K4","IL1A","MKO3","-1","1","1"
"36","MAP3K1=MAP2K4","IL1A","STAT5","-1","1","1"
"37","MAP3K1=MAP2K4","LPS","HSPB1","-1","1","1"
"38","MAP3K1=MAP2K4","LPS","MK12","-1","1","1"
"39","MAP3K1=MAP2K4","LPS","STAT3","-1","1","1"
"40","MAP3K1=MAP2K4","LPS","MP2K1","-1","1","1"
"41","MAP3K1=MAP2K4","LPS","MKO3","-1","1","1"
"42","MAP3K1=MAP2K4","LPS","STAT5","-1","1","1"
"43","MAP3K1=MAP2K4","POLYIC","HSPB1","-1","1","1"
"44","MAP3K1=MAP2K4","POLYIC","MK12","-1","1","1"
"45","MAP3K1=MAP2K4","POLYIC","STAT3","-1","1","1"
"46","MAP3K1=MAP2K4","POLYIC","MP2K1","-1","1","1"
"47","MAP3K1=MAP2K4","POLYIC","MKO3","-1","1","1"
"48","MAP3K1=MAP2K4","POLYIC","STAT5","-1","1","1"
"49","MAP3K1=MAP2K4","CONA","HSPB1","-1","1","1"
"50","MAP3K1=MAP2K4","CONA","MK12","-1","1","1"
"51","MAP3K1=MAP2K4","CONA","STAT3","-1","1","1"
"52","MAP3K1=MAP2K4","CONA","MP2K1","-1","1","1"
"53","MAP3K1=MAP2K4","CONA","MKO3","-1","1","1"
"54","MAP3K1=MAP2K4","CONA","STAT5","-1","1","1"
"55","MAP3K1=MAP2K4","TNFA","HSPB1","-1","1","1"
"56","MAP3K1=MAP2K4","TNFA","MK12","-1","1","1"
"57","MAP3K1=MAP2K4","TNFA","STAT3","-1","1","1"
"58","MAP3K1=MAP2K4","TNFA","MP2K1","-1","1","1"
"59","MAP3K1=MAP2K4","TNFA","MKO3","-1","1","1"
"60","MAP3K1=MAP2K4","TNFA","STAT5","-1","1","1"
"61","MAP3K1=MK12","BDNF","HSPB1","-1","0","0"
"62","MAP3K1=MK12","BDNF","MK12","-1","0","0"
"63","MAP3K1=MK12","BDNF","STAT3","-1","0","0"
"64","MAP3K1=MK12","BDNF","MP2K1","-1","0","0"
"65","MAP3K1=MK12","BDNF","MKO3","-1","0","0"
"66","MAP3K1=MK12","BDNF","STAT5","-1","0","0"
"67","MAP3K1=MK12","NACL","HSPB1","-1","0","0"
"68","MAP3K1=MK12","NACL","MK12","-1","0","0"
"69","MAP3K1=MK12","NACL","STAT3","-1","0","0"
"70","MAP3K1=MK12","NACL","MP2K1","-1","0","0"
"71","MAP3K1=MK12","NACL","MKO3","-1","0","0"
"72","MAP3K1=MK12","NACL","STAT5","-1","0","0"
"73","MAP3K1=MK12","IL1A","HSPB1","-1","0","0"
"74","MAP3K1=MK12","IL1A","MK12","-1","0","0"
"75","MAP3K1=MK12","IL1A","STAT3","-1","0","0"
"76","MAP3K1=MK12","IL1A","MP2K1","-1","0","0"
"77","MAP3K1=MK12","IL1A","MKO3","-1","0","0"
"78","MAP3K1=MK12","IL1A","STAT5","-1","0","0"
"79","MAP3K1=MK12","LPS","HSPB1","-1","0","0"
"80","MAP3K1=MK12","LPS","MK12","-1","0","0"
"81","MAP3K1=MK12","LPS","STAT3","-1","0","0"
"82","MAP3K1=MK12","LPS","MP2K1","-1","0","0"
"83","MAP3K1=MK12","LPS","MKO3","-1","0","0"
"84","MAP3K1=MK12","LPS","STAT5","-1","0","0"
"85","MAP3K1=MK12","POLYIC","HSPB1","-1","0","0"
"86","MAP3K1=MK12","POLYIC","MK12","-1","0","0"
"87","MAP3K1=MK12","POLYIC","STAT3","-1","0","0"
"88","MAP3K1=MK12","POLYIC","MP2K1","-1","0","0"
"89","MAP3K1=MK12","POLYIC","MKO3","-1","0","0"
"90","MAP3K1=MK12","POLYIC","STAT5","-1","0","0"
"91","MAP3K1=MK12","CONA","HSPB1","-1","0","0"
"92","MAP3K1=MK12","CONA","MK12","-1","0","0"
"93","MAP3K1=MK12","CONA","STAT3","-1","0","0"
"94","MAP3K1=MK12","CONA","MP2K1","-1","0","0"
"95","MAP3K1=MK12","CONA","MKO3","-1","0","0"
"96","MAP3K1=MK12","CONA","STAT5","-1","0","0"
"97","MAP3K1=MK12","TNFA","HSPB1","-1","0","0"
"98","MAP3K1=MK12","TNFA","MK12","-1","0","0"
"99","MAP3K1=MK12","TNFA","STAT3","-1","0","0"
"100","MAP3K1=MK12","TNFA","MP2K1","-1","0","0"
"101","MAP3K1=MK12","TNFA","MKO3","-1","0","0"
"102","MAP3K1=MK12","TNFA","STAT5","-1","0","0"
"103","RAS=MAP3K1","BDNF","HSPB1","-1","1","1"
"104","RAS=MAP3K1","BDNF","MK12","-1","1","1"
"105","RAS=MAP3K1","BDNF","STAT3","-1","1","1"
"106","RAS=MAP3K1","BDNF","MP2K1","-1","1","1"
"107","RAS=MAP3K1","BDNF","MKO3","-1","1","1"
"108","RAS=MAP3K1","BDNF","STAT5","-1","1","1"
"109","RAS=MAP3K1","NACL","HSPB1","-1","1","1"
"110","RAS=MAP3K1","NACL","MK12","-1","1","1"
"111","RAS=MAP3K1","NACL","STAT3","-1","1","1"
"112","RAS=MAP3K1","NACL","MP2K1","-1","1","1"
"113","RAS=MAP3K1","NACL","MKO3","-1","1","1"
"114","RAS=MAP3K1","NACL","STAT5","-1","1","1"
"115","RAS=MAP3K1","IL1A","HSPB1","-1","1","1"
"116","RAS=MAP3K1","IL1A","MK12","-1","1","1"
"117","RAS=MAP3K1","IL1A","STAT3","-1","1","1"
"118","RAS=MAP3K1","IL1A","MP2K1","-1","1","1"
"119","RAS=MAP3K1","IL1A","MKO3","-1","1","1"
"120","RAS=MAP3K1","IL1A","STAT5","-1","1","1"
"121","RAS=MAP3K1","LPS","HSPB1","-1","1","1"
"122","RAS=MAP3K1","LPS","MK12","-1","1","1"
"123","RAS=MAP3K1","LPS","STAT3","-1","1","1"
"124","RAS=MAP3K1","LPS","MP2K1","-1","1","1"
"125","RAS=MAP3K1","LPS","MKO3","-1","1","1"
"126","RAS=MAP3K1","LPS","STAT5","-1","1","1"
"127","RAS=MAP3K1","POLYIC","HSPB1","-1","1","1"
"128","RAS=MAP3K1","POLYIC","MK12","-1","1","1"
"129","RAS=MAP3K1","POLYIC","STAT3","-1","1","1"
"130","RAS=MAP3K1","POLYIC","MP2K1","-1","1","1"
"131","RAS=MAP3K1","POLYIC","MKO3","-1","1","1"
"132","RAS=MAP3K1","POLYIC","STAT5","-1","1","1"
"133","RAS=MAP3K1","CONA","HSPB1","-1","1","1"
"134","RAS=MAP3K1","CONA","MK12","-1","1","1"
"135","RAS=MAP3K1","CONA","STAT3","-1","1","1"
"136","RAS=MAP3K1","CONA","MP2K1","-1","1","1"
"137","RAS=MAP3K1","CONA","MKO3","-1","1","1"
"138","RAS=MAP3K1","CONA","STAT5","-1","1","1"
"139","RAS=MAP3K1","TNFA","HSPB1","-1","1","1"
"140","RAS=MAP3K1","TNFA","MK12","-1","1","1"
"141","RAS=MAP3K1","TNFA","STAT3","-1","1","1"
"142","RAS=MAP3K1","TNFA","MP2K1","-1","1","1"
"143","RAS=MAP3K1","TNFA","MKO3","-1","1","1"
"144","RAS=MAP3K1","TNFA","STAT5","-1","1","1"
"145","TAK1=MAP2K4","IL1A","HSPB1","-1","1","1"
"146","TAK1=MAP2K4","IL1A","MK12","-1","1","1"
"147","TAK1=MAP2K4","IL1A","STAT3","-1","1","1"
"148","TAK1=MAP2K4","IL1A","MP2K1","-1","1","1"
"149","TAK1=MAP2K4","IL1A","MKO3","-1","1","1"
"150","TAK1=MAP2K4","IL1A","STAT5","-1","1","1"
"151","TAK1=MAP2K4","LPS","HSPB1","-1","1","1"
"152","TAK1=MAP2K4","LPS","MK12","-1","1","1"
"153","TAK1=MAP2K4","LPS","STAT3","-1","1","1"
"154","TAK1=MAP2K4","LPS","MP2K1","-1","1","1"
"155","TAK1=MAP2K4","LPS","MKO3","-1","1","1"
"156","TAK1=MAP2K4","LPS","STAT5","-1","1","1"
"157","TAK1=MAP2K4","POLYIC","HSPB1","-1","1","1"
"158","TAK1=MAP2K4","POLYIC","MK12","-1","1","1"
"159","TAK1=MAP2K4","POLYIC","STAT3","-1","1","1"
"160","TAK1=MAP2K4","POLYIC","MP2K1","-1","1","1"
"161","TAK1=MAP2K4","POLYIC","MKO3","-1","1","1"
"162","TAK1=MAP2K4","POLYIC","STAT5","-1","1","1"
"163","ZAP70=GRB2","BDNF","HSPB1","-1","1","1"
"164","ZAP70=GRB2","BDNF","MK12","-1","1","1"
