,TR:KI014:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
KI014_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2043.25,483.75,1266,19652.5,809.25,1606.5,3276,624,318,386.5,379,916,316.75,15844,457.25,317.25,3160,110.25,15558.3
KI014_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2043.25,483.75,1266,19652.5,809.25,1606.5,3276,624,318,386.5,379,916,316.75,15844,457.25,317.25,3160,110.25,15558.3
KI014_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4600.5,442,1578,17218,1037,1859,2911,542,511.5,357,472,1274,514,18625.5,541,384,4803,125,15832
KI014_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3685,401,2253,17448,1066.5,1957,2649,719,261.5,368,416,1314,360,17725,422,385,5248,90,15750.5
KI014_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2766,376,1988,21834,865,1514,2311.5,527.5,239,316.5,390,819,264,14595,353,287.5,7204,80.5,15950.5
KI014_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5111,391.5,1752,23172,635,1382,4800.5,582,259,255,297.5,749,282,16731,420,386.5,4230.5,118.5,15790
KI014_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4508,213,1468,14353.5,960,1370,2435.5,513,288,274.5,288,1064.5,354,14231,492,267.5,3465,160,15260
KI014_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3818.5,507,2022,20772,964.5,1356,3037.5,753.5,1060,343,525,1165.5,366,16353,409,575,4573.5,143,15437.5
KI014_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3388,321.5,1579,21452.5,884.5,1638,4306,815,548,256,282.5,1068,343,14551,395,369,1970,99.5,15799
KI014_5_NaCl_phospho,1,,,,,,,,,1,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,54030,408,1842.5,14164,876,2277,14209,1844,524,360,483.5,1106,400,18394.5,587.5,330,3689,144,16055
