,TR:UZ008:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
UZ008_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6644,716.5,9547.75,37424,1267,2422.25,6700.5,569.75,489.75,457.5,803.75,2639.25,541,19623.8,589.75,432,3286.25,103.5,14852.8
UZ008_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6644,716.5,9547.75,37424,1267,2422.25,6700.5,569.75,489.75,457.5,803.75,2639.25,541,19623.8,589.75,432,3286.25,103.5,14852.8
UZ008_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,12716.5,3246,6641,26565,4752,3884.5,17425,1493,2475,3963,1966,12561,3899,24511,7077,717,7123,77.5,15447.5
UZ008_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11556.5,530,8689,27199.5,1470,3544,8904,762.5,346,469.5,897,3858,984,26369,548,362,2734,126,15106
UZ008_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4691,764.5,9711.5,36351,1614,2911.5,8432,813,284,350,670,4220,420.5,22376.5,491,269.5,2365,117,14732
UZ008_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,22064,651,9186,33604,2272,3830,13894,718,329.5,431,615,4130,913,24130,565,359,1948,115.5,14461
UZ008_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,13855,936.5,12750,31527,1601,3215.5,8616,742,544,425,928,4167,1128,25319,653.5,456,2813,130,14687
UZ008_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11216.5,548,12156,29335,1569,3085,8884,745,2319,299.5,1792,3792.5,905,15351,623.5,488,2489.5,136,14631
UZ008_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,12359,653,11814,30212,1725,3590,9364,694,1038.5,573.5,1197,3817,881,25088,641,389,2558,121,14706.5
UZ008_5_NaCl_phospho,1,,,,,,,,,1,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,26842,834,4113.5,19110,825.5,1705,17564,986,360,558,622,1766,403,16851.5,849,340.5,1509,128,15454
