,TR:KI035:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
KI035_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1395.25,549.75,12985.3,38100,3001.5,4162.25,6073,1557.75,369,274.25,704,3485,595,17277.3,532,471.25,3974.5,123.25,16549
KI035_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1395.25,549.75,12985.3,38100,3001.5,4162.25,6073,1557.75,369,274.25,704,3485,595,17277.3,532,471.25,3974.5,123.25,16549
KI035_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2485.5,649,15166.5,34974,5062.5,6653,10254.5,1983,646,476.5,932,8611,2791.5,33025,1111,743,6135,86.5,17176
KI035_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2129,345,14345,33452,4066,5172,8357,2057,439,458,796,5128,1161,31017.5,712.5,617,3526,136.5,17095
KI035_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2116.5,NaN,14576,35182,3722,5464,7617,2211,436,251,NaN,4201,876.5,29553,662,542.5,5063.5,103.5,16910
KI035_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3387,350,14126.5,35205,2449.5,2749,6933,1938,425,245,515,2609,612.5,24685,821,380,4257,135,17003
KI035_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2498,NaN,11119,30545,3600,4963,4950,1584,436.5,257,452.5,4596,1138.5,27753.5,797.5,562.5,4747,114,16046
KI035_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2061,447,15311,42126,4020,5423,7336,1920,3889,347.5,2967.5,4887.5,964.5,30314,633.5,579.5,5255,140.5,16331.5
KI035_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1954,395.5,15715,34870.5,4168,5232.5,7828,1866,1655,392,437,4178,938.5,30510,746.5,535.5,4427,102,16403
KI035_5_NaCl_phospho,1,,,,,,,,,1,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,18456,597.5,16587,27453,2230,3546,16022.5,1932,473,336,882,1812,475,30568,775,689.5,3528,112,16378
