,TR:KI053:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
KI053_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1781.25,683.5,6970,26830.5,2305.5,3622,11817.5,1025.25,444,481,674,2515.75,469.5,31490.8,583.25,533,4434,113.75,17077.8
KI053_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1781.25,683.5,6970,26830.5,2305.5,3622,11817.5,1025.25,444,481,674,2515.75,469.5,31490.8,583.25,533,4434,113.75,17077.8
KI053_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2255,882,7784,28733.5,3004,4841,13604.5,1199,562,652,754,4650.5,1501,36208.5,722.5,617,5708.5,88,17026
KI053_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1992.5,778,7566.5,23947,3151,5437,15949.5,2721,456,419.5,568,6475.5,907,38781,556.5,501,4967,87,16726
KI053_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2199.5,802.5,7590,28953,2567,4034,12109.5,904,419,458,844.5,2203.5,435,32113.5,475,509.5,6325,89.5,16749
KI053_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2023,772,6432,27845,2111,3186,12007,1070.5,502,509,1012,2101.5,420.5,33878.5,629.5,572.5,4939.5,86,17026
KI053_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7471,707.5,7111,28468,2517.5,4105.5,14192.5,941,408,474.5,774,2756,482,33544,606.5,499,5049,91,16772
KI053_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1562,599,5506,23819.5,2185.5,2786.5,10963,1221,3281,573,2463,2077,424,25273.5,625.5,958,2899,84,16647.5
KI053_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1519.5,610,6757,25619.5,2035,3029,12590,1326,1778,535,798,2206,439,29414,528,597.5,3069,149,16772
KI053_5_NaCl_phospho,1,,,,,,,,,1,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8426,815,10118,30268,1762.5,4580,18133,1096,510,464.5,718,2995,430.5,43371.5,645.5,555,5278,74,16818
KI053_5_IL1A_phospho,1,,,,,,,,,,1,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1947,846,7698.5,31963.5,2953,4644.5,14478,2138,548,551,817.5,4161,672.5,38158,692,523,5235.5,95,16680
KI053_5_Teri_phospho,1,,,,,,,,,,,1,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2124,627.5,6542,27476,2153,3209,12818,840,505.5,453,700,2002,399.5,32125,505.5,571,5504,99,16795
KI053_5_IL6_phospho,1,,,,,,,,,,,,1,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2030,619,16703,29345,2508,4588,12960,903,623,492,3086,4112,719,34282,572,591,5885,80,16772
KI053_5_INS_phospho,1,,,,,,,,,,,,,1,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2021.5,837,7323,27741.5,4922,8537,12296,880,479,473.5,835.5,4363,853,35366.5,617,479.5,5324,81,16864
KI053_5_LPS_phospho,1,,,,,,,,,,,,,,1,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3679,531,4195.5,19840,3786,5926,22724,3781.5,428,644,619,19125,9320,19333,555.5,525,2056,88,16852.5
KI053_5_EGCG_phospho,1,,,,,,,,,,,,,,,1,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5227,729,1332.5,13618,2708,2010,26415,1134.5,723,730,818,1597,797,26703.5,505,496,3657,126.5,16633
KI053_5_PolyIC_phospho,1,,,,,,,,,,,,,,,,1,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1955,788,8241.5,28376,2179,3920,12096.5,893,534,505.5,806.5,2772,508.5,33590,636,566.5,5173,96,16898.5
KI053_5_conA_phospho,1,,,,,,,,,,,,,,,,,1,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2049,797,8040,27984,2627,4129,13591.5,909,555,602,871.5,3050.5,665,37315.5,663,592,5732.5,97,16841
KI053_5_S1P1_phospho,1,,,,,,,,,,,,,,,,,,1,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2153,767,7447,29322,2592.5,4237,13642,1962,512,447,869,3277.5,547,35136,616,568,5553,102,16921.5
KI053_5_TNFA_phospho,1,,,,,,,,,,,,,,,,,,,1,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2838.5,952,8961,41664,3289,5883,20948,10328.5,468,426,815,6318,754,41814.5,524.5,511,5002,100,16552.5
KI053_5_vitD3_phospho,1,,,,,,,,,,,,,,,,,,,,1,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1537,633.5,6913,27730,2134,3869,11989,866,420,429,740,2202,556,33152,672.5,457,4827.5,102,16864
