,TR:UZ024:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
UZ024_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3633.75,738.25,3536.5,17275.3,1721,1905.5,11792.8,592.5,409,423.75,796.5,2095,424,22908.5,456.75,511.5,1529.25,100.25,17319.8
UZ024_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3633.75,738.25,3536.5,17275.3,1721,1905.5,11792.8,592.5,409,423.75,796.5,2095,424,22908.5,456.75,511.5,1529.25,100.25,17319.8
UZ024_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6531,843.5,4528.5,20094,2194,2360,11238,732.5,449,538,944.5,4690,1719,26126.5,488,469,2084,116,16864
UZ024_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7980,834,5877,25423,2068.5,2589,13029,1019.5,318,369.5,1219,3175,588,26877,540,539.5,2318,114,17141
UZ024_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8561,805,5584,25631,2045,2994,12253,790,388,513,958.5,3132,393,29299,396,675.5,4220,117.5,17164
UZ024_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5055,777,3182,19932,1610.5,2266,11307,729,445,486,920.5,2466,368,27638,544,638,1981,122,17049
UZ024_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7529,858,3077,14553.5,1550.5,2274,13321,651,448,453,630.5,2519.5,518,26254,397,669,1662.5,118,17072
UZ024_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5141.5,801,3838,17556,1807,2387.5,11766,637,1827,430,3024,2746.5,372,23831,506.5,769,1924,116,16944.5
UZ024_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8828,799,3243.5,20463,1954,2573,12775,697,622,412,937,2580,441,25146,489,589.5,2108.5,113,17210
UZ024_5_NaCl_phospho,1,,,,,,,,,1,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,28399,946,5661.5,11896.5,1861.5,2402,15903.5,963,570.5,651,723,2593,461.5,32967,541,590,2524,139,17787
