,TR:CH061:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
CH061_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2084.5,376.5,5759.5,27476,1537,3590.75,2269.5,795.5,342.75,429,597.75,1904.5,401.75,28053,542,411,8016.75,110.5,17279.5
CH061_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2084.5,376.5,5759.5,27476,1537,3590.75,2269.5,795.5,342.75,429,597.75,1904.5,401.75,28053,542,411,8016.75,110.5,17279.5
CH061_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5096,881,7760.5,30983,3018.5,4591,4213.5,1318,797,1311,1128,4045.5,1077.5,33013,1397.5,711,14593,95,17660.5
CH061_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4091,563,7039,31098,1772,4511,3927,1850.5,370,541,755,3574.5,578,31756,670,529.5,8507.5,134,17649
CH061_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1484,443,7593,31583,1607.5,4061.5,1932.5,706,306,550,771,1604.5,377,26623,621,440.5,8966,130,17418
CH061_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2999,466,6537,30071.5,1280,3335,2553,847,299.5,441.5,734,2092,415,30337,499,503,7599,104,17464
CH061_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6612,444,6205,26461,1242,3730,3499,759,279.5,466,655.5,1727,445,26992,595.5,488,8403.5,146,16841
CH061_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1518,512.5,8326.5,30822,1875,4308.5,2889.5,1021,1923,996.5,4619,2177,446,29853,1032,656,8629.5,109,17752.5
CH061_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3661,387,7371,30868,1364.5,3920,3024,848,574.5,373.5,731,1782,429,29610.5,465.5,473,6443.5,123.5,17349
CH061_5_NaCl_phospho,1,,,,,,,,,1,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11533,485.5,8044.5,20809,1237,4224,7382,1623,416,663,947.5,1517,427,30868,792.5,622.5,6461,124.5,17487
CH061_5_IL1A_phospho,1,,,,,,,,,,1,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4092,519,6184,24685,2000.5,4459,3622,1698.5,414,718,786,3036,623,32067,949,494.5,9253,130,17498.5
CH061_5_Teri_phospho,1,,,,,,,,,,,1,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4845.5,468,5315.5,26208,1419.5,3492.5,2758.5,767,289,517,702,1473,353,26184,590.5,436.5,9195.5,101,17613.5
CH061_5_IL6_phospho,1,,,,,,,,,,,,1,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3509,432,19287,23901,1910,4624,2643.5,745.5,654.5,403,5032.5,3459,679,32390,490,465,9897.5,126,17233
CH061_5_INS_phospho,1,,,,,,,,,,,,,1,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3049,441.5,5961,24939,2207.5,5997,1918,677,289.5,462,703.5,3276,608,31225,502.5,413,8665,146.5,17372
CH061_5_LPS_phospho,1,,,,,,,,,,,,,,1,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3180.5,545,6695,23035.5,1753,4616,6176,2753,288,494.5,764,10104,2325,36969.5,568,470,8592,127,17487
CH061_5_EGCG_phospho,1,,,,,,,,,,,,,,,1,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8175,352,1680,23196.5,2143,1704,25434.5,952.5,404,643,723,1152,398.5,24442.5,429,298,3510,119.5,17602
CH061_5_PolyIC_phospho,1,,,,,,,,,,,,,,,,1,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3563,541,5194,24950.5,1789.5,3971,3782,1947,451.5,763,781.5,2450.5,471,29322,976,517,6691,100.5,17810
CH061_5_conA_phospho,1,,,,,,,,,,,,,,,,,1,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1251,417,5962,25573.5,1334,3873.5,1896,831,312,503,713,2200,478,27546,618.5,440,7346,96.5,17649
CH061_5_S1P1_phospho,1,,,,,,,,,,,,,,,,,,1,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1051,433,5506.5,25538.5,1140,3995,1939,927,295,470,777,1573,354,26969,444,480.5,7436.5,77,17487
CH061_5_TNFA_phospho,1,,,,,,,,,,,,,,,,,,,1,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1294,432,4963.5,19148,1271,3745,4449,3589,230,385,548.5,2976.5,408,30775,460.5,347,7066,104,17418
CH061_5_vitD3_phospho,1,,,,,,,,,,,,,,,,,,,,1,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1027,289.5,4701.5,24881,1147,2953,1465,643,258,367,630,1380.5,345.5,26519,477,289,6313,89,17372
CH061_5_DMF_phospho,1,,,,,,,,,,,,,,,,,,,,,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1411,319,5651,24062,1214.5,3008,2161,661,241,393,562,1414,337.5,25815.5,392,301,7472,93.5,17003
