,TR:KI038:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
KI038_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1757,622,7998.75,38399.3,1227.5,4047.25,7539,1137.75,414.5,468.5,782.5,2377,625,26380.5,727,562.5,6818,110,15814.3
KI038_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1757,622,7998.75,38399.3,1227.5,4047.25,7539,1137.75,414.5,468.5,782.5,2377,625,26380.5,727,562.5,6818,110,15814.3
KI038_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3158,938,9848.5,47152,2786.5,6633,15333.5,1720.5,528,675.5,1102,8261.5,4116,33962.5,1081,690,8461,100.5,16321
KI038_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2470.5,650,8424,47591,1703,4564.5,11486.5,1629,437,538,774,3417,955,29358,672.5,526.5,6569.5,136.5,16003
KI038_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1450,601.5,8865,36951,1331,3842,9605,1657,459.5,642,795,3081,477,27245.5,820,634,8116,85,16046
KI038_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3105,554,7679,36385.5,1066.5,3713,8157.5,984,387,569,763.5,2020.5,509.5,25411,821,490,6066.5,107,15582.5
KI038_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3437,595,8767,33374,1638.5,4457,6180.5,1413,466,529,653,3136,881,29404,689,505,6019,146,16083
KI038_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2798.5,598,9943,35543,1656,4519.5,9419,1408,4014,550,2632,3124,764.5,27373,677,1572,6117.5,142.5,15748
KI038_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2979,492,6388,41752,1563,3594,12434,1937,1211,544,678,3407,772.5,23068.5,661,508,5542,104,16155
KI038_5_NaCl_phospho,1,,,,,,,,,1,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11682,514,10299,47845,710,3638,23045.5,1290,470,412,700.5,2492,497,31193,681,595,5526,153.5,16180
KI038_5_IL1A_phospho,1,,,,,,,,,,1,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1330.5,776.5,10581,42629,2256.5,5314.5,18660.5,3364.5,527,705.5,1093.5,4911.5,1242,31573,1150.5,680,8634,82,16071.5
KI038_5_Teri_phospho,1,,,,,,,,,,,1,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2180,581,9395,41567,1150,3510,13227,1926,389.5,517.5,770,4068.5,855,29958,815,489,7739,135,15656
KI038_5_IL6_phospho,1,,,,,,,,,,,,1,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1368,552,33489,38474,1734,4886,10912.5,1648,1486,731,3946,3816,935,30892.5,949,668,7023,133,15547.5
KI038_5_INS_phospho,1,,,,,,,,,,,,,1,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1288,530,9120.5,35174,3554,8542,15464,2112,428,393.5,575,6186,1746,29542,613.5,434,5970,131,15956.5
KI038_5_LPS_phospho,1,,,,,,,,,,,,,,1,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5183,838,9078,45029,2387,5814,26911,4683,421,555,852,11171,4682,33685.5,714,598.5,6186,132,15913
KI038_5_EGCG_phospho,1,,,,,,,,,,,,,,,1,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6183,690,1371.5,22411,2473,2215,56442,3150.5,543.5,492,807,13027.5,9064.5,28988,430.5,517.5,9268,128,15593
KI038_5_PolyIC_phospho,1,,,,,,,,,,,,,,,,1,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,21372,771,10433.5,44625.5,2186,6412,32566,3808.5,491.5,521,719,12343,5814.5,33535.5,662,498,6059,146,16193.5
KI038_5_conA_phospho,1,,,,,,,,,,,,,,,,,1,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1703,859,9504,35854.5,2688.5,6524,24314.5,2442,436,598,853.5,10122,4906,33916,673,686.5,7720,133,15647
KI038_5_S1P1_phospho,1,,,,,,,,,,,,,,,,,,1,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1284,694,8931,37251,1623,5134,12642,1776.5,522,551,901,3880.5,985.5,30592.5,632,572,6723,131,15984
KI038_5_TNFA_phospho,1,,,,,,,,,,,,,,,,,,,1,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2372.5,793,9625.5,32554.5,2367,6304,24799.5,7293.5,382,454.5,713,7682,2381,35012.5,819,617.5,6573,159.5,15681
KI038_5_vitD3_phospho,1,,,,,,,,,,,,,,,,,,,,1,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1153,554.5,8216,37759,1036,3672,6267,952,396,622.5,886.5,2004,507,28446.5,670,486,6264,92,15332
KI038_5_DMF_phospho,1,,,,,,,,,,,,,,,,,,,,,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2604.5,565,9533,34770,1808,5126,15386,1716,318,604,678,5019,1469,29842.5,684.5,481,7128,136,15912.5
