,TR:KI030:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
KI030_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1164.75,762.5,11126,51896,2491.5,5888,16496.5,2129.75,573,392,1786,3050.25,1134.5,46267,452.25,452,2211.5,107,16956.5
KI030_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1164.75,762.5,11126,51896,2491.5,5888,16496.5,2129.75,573,392,1786,3050.25,1134.5,46267,452.25,452,2211.5,107,16956.5
KI030_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2122,938,13250,49554,5229,8679,21893,3351,641,499,1546,10889,9925.5,58990,552.5,603,2386.5,88,16795
KI030_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1611,837,10887,49347,3449,6923,18698.5,2965.5,634.5,375.5,1698,4032,1454.5,51942.5,529,484,2626,147.5,16703
KI030_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1884,835,13085,50616,2321.5,4906,17729.5,2613,624,427,1751,2688,875,53153.5,379,542.5,3035.5,124,16737.5
KI030_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2105,800,11973.5,47789.5,2036.5,4937,17464,1920,550,425,1555.5,2879,905,42241.5,454,464.5,2002,116,16772
KI030_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1789,708.5,10416,47294,3252,5348,14885.5,2960.5,525,362,1630,3859,1399,43267.5,525,379,2183.5,110,17026
KI030_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1504,834,17303,43764,3624,5047.5,18756,1634,4934,445,6623,4403,1623.5,43487,561,2077.5,2357,120.5,17164
KI030_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2314,827,12844,53315,3741,6717,19136.5,3068,1807,359.5,1615.5,4184,1551,48781.5,543.5,538.5,2341,103,16956
KI030_5_NaCl_phospho,1,,,,,,,,,1,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10380,1015.5,6870,42195,1589,3854,23370,2307,656,603,1355,2408,680,40742,541,667,1393,118,17279
