,TR:IB034:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
IB034_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6223.25,718,2963.5,16848,1976.5,1446,13505.5,523.5,361,399.5,536,2039.75,412.75,23854.3,467.25,419.5,973,118.25,16657
IB034_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6223.25,718,2963.5,16848,1976.5,1446,13505.5,523.5,361,399.5,536,2039.75,412.75,23854.3,467.25,419.5,973,118.25,16657
IB034_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5709,1080,5789,25169,3787,2552,13173.5,642,586.5,632,671,5273,1594,19840,858,565,1367,88,17303
IB034_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4420,839,4150.5,24788.5,3042,2673,13802,593,444,475.5,445,4316,900.5,20671,562,487.5,1263.5,128,16252
IB034_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4104.5,793,3757,20509,2672,2444,12564,559.5,374.5,425,571,3049.5,481.5,27730,362,329,1253.5,101,16980
IB034_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3881,727,2615,14967,2387.5,1910,13099,465.5,465,364.5,465.5,1603,489,14814,398,392,828,98,16726
IB034_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3852,890,3206,15157,2500.5,2388,12434,669,484,612,742,2871.5,664,24535,541,527,1141.5,257,16772
IB034_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4621,1027.5,4694,23278,3126,2651.5,12876,878,1651,792,1598,3719,771,24765.5,792.5,964,1265,480,16475
IB034_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2448,353,1266,19310,1713,948,11727.5,404.5,565,396,339,1169,466.5,7268,267,293.5,704,90,17049
IB034_5_NaCl_phospho,1,,,,,,,,,1,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,14962,774,3692,23104.5,1791,1982.5,16569.5,767,418,461,603,1588,452,27718.5,531,456.5,1291,91,17026
