,TR:CH004:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
CH004_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1209,766.75,3980.75,23674.5,1908.25,2365.5,17298.5,658.5,423.25,358,711.75,2338,572.75,20870.3,387.75,341.5,2278,97,16728
CH004_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1209,766.75,3980.75,23674.5,1908.25,2365.5,17298.5,658.5,423.25,358,711.75,2338,572.75,20870.3,387.75,341.5,2278,97,16728
CH004_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3027,1307,5677,21360.5,3449,3272.5,21441,1131,784,684,1020,9206,3941.5,26773,1315.5,482,2638,116.5,17160
CH004_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2729,959.5,5060,21487,2527,3290.5,20437.5,1419,518,422.5,757,5968,2067,29992.5,592,352.5,2405,115,17010
CH004_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2696,929,5450,26219,2275,2945,18106.5,813,408,240,810,1998,434,22572,478,464,3550,147,16760
CH004_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3268,741,5255,21291.5,1746,2107,18741,556,469.5,350,985.5,1927,528,23565,434,417,2754,81.5,16848
CH004_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2372,1017.5,5631.5,21095,2253,3177,19318,1221,490,442,931,4981,1421.5,27846,462.5,298.5,1532.5,132,16542
CH004_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2550,885,6268,19918,2297,2077,19272,989.5,2168,408.5,2509,3657,1201,25157,446.5,812,1654,117.5,16568
CH004_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2072.5,958,5581,19756,2463,1019,20945.5,906.5,1141,275,879.5,1229,1032,9340,356.5,464.5,928,85,16209
CH004_5_NaCl_phospho,1,,,,,,,,,1,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,28481,1250,11809,24142,1890,742,16331,445.5,1109,490.5,1153.5,1715,424,13333,811,988,2154,120,16669
CH004_5_IL1A_phospho,1,,,,,,,,,,1,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1875,1293,3815,20795,2652,3022,20368.5,2289,822,879.5,931,6510,2122.5,24892,1550.5,476,2855,129,16489.5
CH004_5_Teri_phospho,1,,,,,,,,,,,1,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1438.5,988,4449,24949,1859,2883,19918,1239,385,338,615,6634,1659,26450,487,299,3192,76.5,16508
CH004_5_IL6_phospho,1,,,,,,,,,,,,1,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,970,747,18764,25180,2333.5,3132,19526,1081,983.5,433,3723,4583.5,1156.5,26173,300,480.5,3779,126,16286
CH004_5_INS_phospho,1,,,,,,,,,,,,,1,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,916,375,4709,25030.5,3372,4848.5,18475.5,1097,363,350.5,876,6581,1747,24718.5,339,261.5,1351,73.5,16544.5
CH004_5_LPS_phospho,1,,,,,,,,,,,,,,1,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2085.5,962,5642.5,33789,4552,4658,22272,1699,405,275,1072,10442.5,3407,27973,417,371,3622,90,16895
CH004_5_EGCG_phospho,1,,,,,,,,,,,,,,,1,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3707.5,808,1103,19098.5,3396,1237,38901.5,1715,604,456.5,834.5,11633,4773.5,26472.5,436,400,1744,123,16571
CH004_5_PolyIC_phospho,1,,,,,,,,,,,,,,,,1,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1655,7715,6145.5,33881,10840.5,4005.5,36708.5,8335,6205,6293.5,2996.5,19075.5,5474.5,19353,16394,2561,5110.5,140,16271
CH004_5_conA_phospho,1,,,,,,,,,,,,,,,,,1,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1915,1495,5496,26080,4789,3982,25122.5,2238,984,903,1266.5,15284,5077,30235,1856.5,567,3971.5,129,16595
CH004_5_S1P1_phospho,1,,,,,,,,,,,,,,,,,,1,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2057.5,1148.5,5089,26242,2717,2998,21637.5,1359,587,592.5,916,9990,3614,26588,964,379.5,3520.5,115,16438
