,TR:IB056:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
IB056_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5512.25,746.25,3734.5,47717.8,2783.75,4818.75,10188.5,1585.75,403.75,484,958.5,4077.25,965,18960.5,976,481.5,4767.75,117,14719.5
IB056_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5512.25,746.25,3734.5,47717.8,2783.75,4818.75,10188.5,1585.75,403.75,484,958.5,4077.25,965,18960.5,976,481.5,4767.75,117,14719.5
IB056_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6597,1263,4545.5,44360,3455.5,5528.5,14449.5,2011,559,716,1571,8537,4370,22064,2033,618,5842,82,14896.5
IB056_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6231,966,2878.5,42998,4087.5,4078.5,14323,1926,448,505,848,3472,1351,16629,1403,577,4029.5,79,14625
IB056_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3579.5,912,3161.5,43967,2606,3850,11340,1255.5,351,373,792,2619.5,576.5,16425.5,648,593,5825,138,14640
IB056_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2948,635,3108,45883,2438,4012,11461,1370,457,508,1268,2690,562,17679,901.5,520,4197.5,98,14634.5
IB056_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8988,849.5,3391,45375,3006,4094,17194.5,1238,423,337,810,3243,1347,16003.5,949,653,3435,112.5,14298
IB056_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2559,782,3995.5,46494.5,2098.5,3583,8897,1375,1807,470.5,2363,3258,757,16590,788,834,3450.5,120,14763
IB056_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2012,844.5,3423.5,50072.5,2158,3391,8370.5,980,521.5,252,876,2771.5,612,15483,686,409,3366,102,14826
IB056_5_NaCl_phospho,1,,,,,,,,,1,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11747,1034.5,4898,43206,1293,3100,18152.5,2007.5,608,654,799,2430,487.5,18672,2011,577,2980.5,137,14747.5
