,TR:UZ038:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
UZ038_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7935.5,960,11844.3,28088,3222,4164.75,20495,825.25,470,368.75,1455,2308.5,594.75,19537.5,426.5,407.5,5049,99,16853.8
UZ038_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7935.5,960,11844.3,28088,3222,4164.75,20495,825.25,470,368.75,1455,2308.5,594.75,19537.5,426.5,407.5,5049,99,16853.8
UZ038_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9896,1170,14226,31192.5,3931.5,4985.5,23380,1321.5,564,476,1559,4285.5,2459,26126.5,587,448,5629,113.5,16710.5
UZ038_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,14374,1072,21788,38359,3505,4812,25042,1116,435,350,1938,2594,711,16162,371,384.5,4446,110,16664
UZ038_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,13396,736,15502,43090,3883,5120,22826,1260.5,423,421,2700.5,2590,370,12813.5,471.5,389,5784,112,16462
UZ038_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7315,999,9682,26103,2441.5,3949,19167.5,630.5,418,404,1299.5,1725.5,407.5,15815,530,312,4955,125,16664
UZ038_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8876,682.5,8872,23334,2477.5,3590,17367.5,654,356,239,844.5,1852.5,495,6513,347.5,171,868,117,16686
UZ038_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,12181,907,14360.5,33697,2807,4696,21534,976.5,4999,333,4820,2605.5,485,14165,523,482,6033,120,16433
UZ038_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10945,1163.5,7072,22826,2231,3854.5,19295,958,858,357,1720.5,2028,497.5,17402,499,238.5,5468,132,16710
UZ038_5_NaCl_phospho,1,,,,,,,,,1,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,47845,1095.5,16161,32774,2378,4941,25827,1253,536.5,213,1692,1764.5,493.5,4317.5,354,276,2973.5,118,16562
