,TR:IB022:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
IB022_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3865,538,3593.5,29011.5,1605.75,2918.5,9048.5,973.25,370.25,421.25,438.25,3754.5,752.5,23795.5,779.5,454.75,2687.5,120.5,15169.5
IB022_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3865,538,3593.5,29011.5,1605.75,2918.5,9048.5,973.25,370.25,421.25,438.25,3754.5,752.5,23795.5,779.5,454.75,2687.5,120.5,15169.5
IB022_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5632,727,4349,26311,2507,4264,16664,1380.5,427.5,540.5,514,11497.5,5104,27269,880,509,3457.5,91,15429.5
IB022_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2790,624,4183.5,27442,2383,3867.5,13508,1355,295.5,340.5,497,6437.5,2005,25999.5,851.5,420,3328.5,98,15340
IB022_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4403,597,3369.5,31920,728,2225,11583,1533,338,634,482,2756.5,420,21591.5,821,422.5,3867.5,89,15609.5
IB022_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4674.5,489,2446.5,32174,927,2064,9711.5,833,308.5,508,420,2186.5,462,21003,576,445.5,2001.5,91,15522
IB022_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2755.5,599,2608,34320,541,1932,14823.5,1727.5,309.5,1226,367,2946.5,1108,18418,1003,472,1716,98,14895.5
IB022_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2645,554,2776,34551,527.5,1650.5,18037,1965,2518,1281,1678.5,2555,521,14805.5,928.5,1198,1411.5,105,15303
IB022_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2614,478,2152,34597,490,1513.5,13441,1735,1310.5,1253,487,2098,432,14390.5,885.5,500,1329,92,15090
IB022_5_NaCl_phospho,1,,,,,,,,,1,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7045.5,569,3785,26807.5,1107,1864.5,11098,688,329,343,532,2117,421,26288,678.5,358.5,3082,103,14976
IB022_5_IL1A_phospho,1,,,,,,,,,,1,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4631.5,642,3746.5,31296,2196,3190,10749.5,1483.5,286,571,554,5781,1058,25376.5,932,594.5,3439,100,15730.5
IB022_5_Teri_phospho,1,,,,,,,,,,,1,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5793,592,3112,32127,1146.5,2168.5,7788,1172,330,521,470,2465,416,25353.5,865,496.5,3348,149,15581
IB022_5_IL6_phospho,1,,,,,,,,,,,,1,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3052.5,603,12752,25180,1900,3372.5,5985.5,743,670,437,2134,4617,1199,26473,685.5,527,2077.5,138,15577
IB022_5_INS_phospho,1,,,,,,,,,,,,,1,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3176,497,2838,33628,2760.5,4506.5,12173.5,1341.5,344,756.5,496,6807,1783,25850,915,463.5,2315.5,89,15493
IB022_5_LPS_phospho,1,,,,,,,,,,,,,,1,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4874,725.5,2122,35462.5,663.5,2419,22387.5,1892,354,301,479.5,9058.5,3408.5,13947,579,482,1352.5,84,14803
IB022_5_EGCG_phospho,1,,,,,,,,,,,,,,,1,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5638,641,685,13529,662,1049,47291,394,329,187.5,569.5,1175,4433,8956,246,409.5,1279,97,14646
IB022_5_PolyIC_phospho,1,,,,,,,,,,,,,,,,1,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4307,740,4647.5,25561.5,2287,3645.5,18810,1842.5,391.5,328,525.5,10794.5,3734,28342,680,420,2354.5,104,15284
