,TR:UZ030:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
UZ030_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2896.75,683.5,4776.25,26271,2594.25,2565.75,13263,519.5,441.25,387.5,1358,2580,649,18712,447.5,473.75,1427,115.5,16267.8
UZ030_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2896.75,683.5,4776.25,26271,2594.25,2565.75,13263,519.5,441.25,387.5,1358,2580,649,18712,447.5,473.75,1427,115.5,16267.8
UZ030_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3239,871,9693.5,22365,3641.5,3760.5,15441,650,696,456,2827.5,6056,2897,25388,449,506.5,1001.5,85,16502.5
UZ030_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3738,779.5,11056,27188,3194,3212,15261.5,788,651.5,463,2912,4843,1182,24603,415,634.5,1648,100,16301
UZ030_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5602.5,773,10418.5,34066,2707.5,3210.5,14813,698,556,494,3093,2952.5,565.5,24361,413,550,2961,119,16115
UZ030_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4036,648,5394.5,28411.5,2145,2105,13910.5,492.5,374,401.5,1281,2207.5,477,23322.5,379,521,1793,102,16103
UZ030_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3555,846,5654,27661.5,2442.5,3245,14341,625.5,500.5,444,1121,2945,728,26265,426.5,590,2192.5,97,16418.5
UZ030_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3967,737,7186,30338.5,2429,3016,13501,537,2287,380.5,6554,3058.5,636.5,23230,479,989.5,2661.5,83,16456
UZ030_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3884.5,637,5447.5,29958,2352,2895.5,12614,460.5,728,409.5,1046,2819.5,476,22064.5,407,380.5,2350,97,16140
UZ030_5_NaCl_phospho,1,,,,,,,,,1,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,14942,759,11243,22734,1782.5,1822.5,17079,628,866.5,405,2720,1980,436,15731,420,529,1092,135,16067
