,TR:KI039:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
KI039_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8778.25,533.25,5654.25,32271.8,3267.5,4163.5,8333,878,313,439.25,451,2419.25,541.25,24435.8,745,524.5,5576.5,116,15610
KI039_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8778.25,533.25,5654.25,32271.8,3267.5,4163.5,8333,878,313,439.25,451,2419.25,541.25,24435.8,745,524.5,5576.5,116,15610
KI039_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10544.5,613.5,4829,30258,3559,4718,10239,1045,384.5,467,535.5,3491,1072.5,22976.5,696,621,4341,81,15745.5
KI039_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9180,556,5177,30743,3436,4200,9556,1106,350,453,496,2832.5,600,22318,693,478,5274,100,15527
KI039_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9678,543,5237,34089,3108,3930.5,7649,811,331,455.5,490,2243,425,22745.5,625,580,8497,102,15880.5
KI039_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,19295,591,5951,31043,3059,4578,12104,1093,322,433.5,513,3308,471.5,26946,689,558,6223,108,15732.5
KI039_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11024,491.5,5425,30627,3306,4424.5,6069,973.5,329.5,403.5,445.5,2975,692,22064,777,561,5451,103,15676
KI039_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9463,596,6549.5,31527,3063,4002,7782,944,2329.5,506.5,2546,2882.5,621,21395,651,1103,5948,92,15362.5
KI039_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8503,503,5406,33616,3422,4394,9594,1011,589,375.5,489,2761,633,22711,713,573.5,5873.5,92,15660
KI039_5_NaCl_phospho,1,,,,,,,,,1,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,18949,490,4926,34539.5,2254,3576.5,15267,1317,295,282,416.5,1829,415,22041.5,540.5,452,4445.5,141,15464
KI039_5_IL1A_phospho,1,,,,,,,,,,1,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8491,586,4829,34954.5,3514,4498,9747,1980.5,358,542,560,2987,675.5,24107,811,473,4753,140,15353
KI039_5_Teri_phospho,1,,,,,,,,,,,1,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9159,555,5005,32958,3019.5,3671,9034.5,1036,383.5,500,494,2204.5,499,23438,681.5,574.5,6493,97,15362
KI039_5_IL6_phospho,1,,,,,,,,,,,,1,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9872,521.5,20241,33443,3520,4434,9668,963.5,669,512,3121,3147,666,26011,704.5,647.5,6514,94,15214
KI039_5_INS_phospho,1,,,,,,,,,,,,,1,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10447,465,6105.5,33351,3920,5861,10578,1256,289.5,460,500,3381,789,26622.5,687,492.5,6017,121,15755.5
KI039_5_LPS_phospho,1,,,,,,,,,,,,,,1,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10130,721,6434,36997,4164,6056,21534,1715,368,375,546,10042,3503,28550,652.5,504.5,7423,152,15553.5
KI039_5_EGCG_phospho,1,,,,,,,,,,,,,,,1,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,19249,389.5,1096,16941,6408,2492,44821,1628,449,350,600,6075,2923,19733,469,425,7701,107.5,15520
KI039_5_PolyIC_phospho,1,,,,,,,,,,,,,,,,1,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8514.5,644,4390.5,33846.5,3705,5087,17241,1790.5,379.5,404,530,5666,1626,26911.5,622,427,4082.5,121.5,15764
KI039_5_conA_phospho,1,,,,,,,,,,,,,,,,,1,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7468,581,4606,34943,4256,5065,13371,1485,495.5,523,628.5,4592,1138,25873,607,476,4289,139.5,15414
KI039_5_S1P1_phospho,1,,,,,,,,,,,,,,,,,,1,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6763,494,4348,33974,3544,4907.5,9171,953.5,428,501,545.5,2960.5,656,25307.5,636,611,6813.5,97,15395
KI039_5_TNFA_phospho,1,,,,,,,,,,,,,,,,,,,1,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,13233.5,704,5067,20126,4407.5,5243,15071,5762,358,385,528.5,4283,1006.5,27384,712,562.5,6303.5,159,15404
KI039_5_vitD3_phospho,1,,,,,,,,,,,,,,,,,,,,1,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7709,445,4474,31066,3091,3939,7261,724,363,430,431,1999,460,22572,624,511,5384,149.5,15489
KI039_5_DMF_phospho,1,,,,,,,,,,,,,,,,,,,,,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7553,478,4460.5,28619,3410,4507.5,10329.5,912,325.5,394,504,2527,618,24788,636.5,443,7138,144,15408
