,TR:IB044:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
IB044_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,943.75,631.5,5550,34366,1995,4691,7486.25,998.5,428.75,437.25,791.25,3645.25,1446,27644,685,532,2304,109,15627.8
IB044_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,943.75,631.5,5550,34366,1995,4691,7486.25,998.5,428.75,437.25,791.25,3645.25,1446,27644,685,532,2304,109,15627.8
IB044_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1193,765.5,6778,31435,2564,5071,11001,1290.5,480.5,536,967,7743.5,5196,31758,803,557.5,2457,120,15965.5
IB044_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,624,713,4204,43714,872.5,4168,18833,2270.5,452,1062,621,3214,2543,23703,949,451,1519,133.5,15465
IB044_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1072,525.5,4986,30281,1832,4402,4596.5,1307,382,478,566.5,2674.5,855,26842,655,447.5,3501.5,109.5,15455.5
IB044_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1298,559,4901,41475,708,3371.5,14789.5,1441,454.5,825,625.5,2358.5,717.5,26657,855,445.5,1734,123,15243
IB044_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,687.5,513,3292,25088,1549,3634,4368,765,391.5,396.5,558,2809,2213,24765,646.5,447,1568,100,15334.5
IB044_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1447.5,577,8426,32035,2250,5081,9711.5,804,3094,391,1826,4196,1071,24499.5,743,2078,2092,93,15670
IB044_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,743,684,6484,41636,1339,3705.5,8990,836,1115.5,429,890,4838,1058,23195,742.5,547,2022.5,75,15206
IB044_5_NaCl_phospho,1,,,,,,,,,1,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1308,670,7376,37113,772.5,2375,14489,883.5,495,413.5,651.5,1764.5,624,22157,867,630,1433,133.5,15907.5
IB044_5_IL1A_phospho,1,,,,,,,,,,1,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,731,1961.5,4376,43829,922,3811,20172,2913,1456,1833.5,1160,5383,2039.5,22572,3989,924,1713.5,86,15766.5
