,TR:KI029:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
KI029_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3446.5,514.75,8908.75,31807.8,2751.75,4668.75,4298.5,1373.25,389.25,458,1172.25,4772.75,1004.25,37904,592,503,5151.75,95,17291
KI029_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3446.5,514.75,8908.75,31807.8,2751.75,4668.75,4298.5,1373.25,389.25,458,1172.25,4772.75,1004.25,37904,592,503,5151.75,95,17291
KI029_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7055,688,10668,28099,4389.5,6139,6239.5,937,431.5,582,1045,9106,4220,43579,645.5,535,4156.5,110,17233
KI029_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2607,567,7816.5,27926.5,3469.5,5372,3060,2038,340,464,989,3448.5,1330,39634,559,581.5,4208.5,131,17464
KI029_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4244,465,7548,29264.5,3021,3896,2923,955.5,347,404,1241,2793,620,35124,504.5,586,4831,117.5,17303
KI029_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11820.5,547,7544,27961,2466,4081,5995,1029,350,430,905,4014,792,42449,611,600.5,3478,123.5,17164
KI029_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7160,514,9510,26277,3297,5499.5,2956,893,325,402,961,5866,1454,41711,545,579,3620.5,101,17210
KI029_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5370.5,440.5,11700.5,29576,3659,6132,3540,930,3545,432.5,4933,6822,1285,39450,668,1392,4456,139,17418
KI029_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4708,488,10305,30614,3435,6006.5,3286.5,925,1186,432,1276.5,6315,801,40349,538,591,4152,102.5,17464
KI029_5_NaCl_phospho,1,,,,,,,,,1,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11748,543,10673,28353,1889.5,4000.5,8366,1068.5,371,393,980,2695.5,653,41733.5,632,540.5,3159.5,120,17649
KI029_5_IL1A_phospho,1,,,,,,,,,,1,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4786,699,9449,26484,3940.5,6510,8686.5,2497,534.5,419,989.5,8569,2672,48286,542,536.5,3952,91,16968
KI029_5_Teri_phospho,1,,,,,,,,,,,1,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4454,543.5,8416.5,26969,2088,3813,7866,2513,352.5,426.5,823.5,2331.5,568,44364,520,526,4289,113,17175.5
KI029_5_IL6_phospho,1,,,,,,,,,,,,1,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3128,475,26277,27534.5,3162,5504,5575,979,809,369,4409,5646,1563,42229.5,490,602.5,3996,108.5,17210
KI029_5_INS_phospho,1,,,,,,,,,,,,,1,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4810,547,9714,28607,4878,7648,8412,2541.5,357,406,1459.5,7936,2219.5,43279,514.5,457,3732.5,83,17049
KI029_5_LPS_phospho,1,,,,,,,,,,,,,,1,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,19044.5,1180.5,11130,36681,5059,7719,17372,4236.5,373,518,1442.5,14551.5,7186,49854,673,600.5,4484,134.5,17060.5
KI029_5_EGCG_phospho,1,,,,,,,,,,,,,,,1,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7379,632,2276,17303,5035.5,2626,35274,3174,464,463,1016,16472,7348,33682,534,398,6515,110,17049
KI029_5_PolyIC_phospho,1,,,,,,,,,,,,,,,,1,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9239,728,9187.5,27211.5,3987,6525.5,16587,3733,323,416,873,13781,6757,47478,523.5,529,3598,88.5,17510
KI029_5_conA_phospho,1,,,,,,,,,,,,,,,,,1,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5022,809,8047,26507,4868,6971.5,12055,3213.5,364.5,527.5,989.5,12824,5597,42979,555,494,3733.5,116,17210
KI029_5_S1P1_phospho,1,,,,,,,,,,,,,,,,,,1,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3998,597.5,9102,28918.5,4127,7098.5,9482,3047,339,398,1391.5,13075,3507,39265,489,473,3943.5,117.5,17026
KI029_5_TNFA_phospho,1,,,,,,,,,,,,,,,,,,,1,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9386,845,8093,26853,4220,7085,12900,6056.5,366,519.5,1349,11368,4504,47605,531.5,531,3807.5,113,17095
KI029_5_vitD3_phospho,1,,,,,,,,,,,,,,,,,,,,1,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4036.5,575,10087,30256.5,2140,5609,6485,930,320.5,399,956,6616.5,1564,39427,563.5,550,3778,132.5,17395
KI029_5_DMF_phospho,1,,,,,,,,,,,,,,,,,,,,,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4792,414,7703,27810.5,4285,5813,9594,920.5,329,373,837,7925,2395,34305,504.5,545,4194.5,104,17129.5
