,TR:IB014:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
IB014_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6774,995,11166.8,17954.3,3299.75,2233.25,19188.3,514,430.5,469.25,907.25,4701.5,1340.5,17695,529.5,522.75,1346.75,106.25,16664
IB014_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6774,995,11166.8,17954.3,3299.75,2233.25,19188.3,514,430.5,469.25,907.25,4701.5,1340.5,17695,529.5,522.75,1346.75,106.25,16664
IB014_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11673,1234,17429.5,20302,4275,2597,20117,647,617.5,633,1366.5,6360,2658,18940,681,649,1717,98,17141
IB014_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9271,1050,14939,19771,3914,2615,20094,608,544.5,577.5,1182,5634,1645,18987,725,624,1512,127.5,17072
IB014_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8612,1119,15010,20186,3673,2636,19979,624,543,484,1227.5,4174,992,19379,433,517,1980,95,16980
IB014_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7768.5,924.5,12701,19932,3310,2334,18387,531,367,383.5,1007.5,4197,1217,17372,622,471,1505,120,17026
IB014_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10340.5,1155,14288.5,21224,4060.5,1993.5,20232,539,358.5,418.5,1209,5775,1801,16467,661,595,1617,121,16864
IB014_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10387.5,1175.5,14167.5,21801,3904.5,2511,20071,536,690,456,1302,3856,1453,17764,739,647.5,1436.5,89,16864
IB014_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9189,1079,12920,21155,3710,2563,20336.5,595,502.5,474,1013,5634,1421,20094,587,550,1550,92,16887
IB014_5_NaCl_phospho,1,,,,,,,,,1,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10486,1159,16422,15277,2866,1820,21259,487,404,517,1340,3516,974,16613,722,505,1626.5,98,17003
IB014_5_IL1A_phospho,1,,,,,,,,,,1,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6396,1090,12741,23865.5,3695,2390,19725,802.5,386,379.5,923,5958,1857,19102,592.5,559.5,1584.5,122.5,17198.5
IB014_5_Teri_phospho,1,,,,,,,,,,,1,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8138.5,1354.5,9305.5,16511,2565.5,1773.5,18756,490,832.5,444.5,1726,3703,910,16633,693,576,1203,110,16864
IB014_5_IL6_phospho,1,,,,,,,,,,,,1,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,12027,869,21940,20855,4065.5,2279,19494,434.5,585.5,462,2438,4454.5,1559,14118,666,673,1688.5,98,16875.5
IB014_5_INS_phospho,1,,,,,,,,,,,,,1,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10533,1073.5,14854,23831,4431,2461,20371,622,295,398,1107.5,6913,1970.5,15882,634.5,498,1609,117,17072
IB014_5_LPS_phospho,1,,,,,,,,,,,,,,1,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10219.5,1892,12669,22147,3932.5,2744.5,23001,884,684,375.5,882,11467,5220,20809,712,581.5,1465.5,81,16795
IB014_5_EGCG_phospho,1,,,,,,,,,,,,,,,1,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8254,1197,4615,15586.5,4407,1405,37696,1052,788,491.5,1373,9423,5383,20740,721.5,418,1444,119.5,16770
IB014_5_PolyIC_phospho,1,,,,,,,,,,,,,,,,1,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8217.5,1278,14040.5,19633,3729,2456,22955,1050,325.5,461,747,9255,4424.5,20405.5,474,641,1427,91,16898.5
IB014_5_conA_phospho,1,,,,,,,,,,,,,,,,,1,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7187.5,1078,12815,19736.5,3635,2349.5,19932,886.5,387,518,831,7969.5,3327.5,16563,647.5,537,1499,91,16887
IB014_5_S1P1_phospho,1,,,,,,,,,,,,,,,,,,1,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10226,1084.5,14151.5,21317,3942,2298.5,19932,615,404.5,407,1052,5224,1625,17103,485,574,1611,95,16843
IB014_5_TNFA_phospho,1,,,,,,,,,,,,,,,,,,,1,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8024,1026.5,12732.5,20901,3499,1967,21294,891.5,336,381,744,7607,3035,18756,466.5,574,1278,117,16841
IB014_5_vitD3_phospho,1,,,,,,,,,,,,,,,,,,,,1,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10676.5,890,14006,23185,3713,1589,18190.5,421.5,393,479,803,5172,1054.5,14738,644,464,1148,117,16760.5
IB014_5_DMF_phospho,1,,,,,,,,,,,,,,,,,,,,,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5412,1042,8384,14912,3877,2527,18664,453,522.5,425.5,998,5757,2177.5,18236.5,624,448,1243,127,16956
