,TR:IB021:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
IB021_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12012,1007.75,3769,29242.5,3508,2694,19652.5,796.5,468,385.5,743,4035.5,902,23865,476.75,459.5,1436.5,116.5,16672
IB021_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,12012,1007.75,3769,29242.5,3508,2694,19652.5,796.5,468,385.5,743,4035.5,902,23865,476.75,459.5,1436.5,116.5,16672
IB021_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11509,1083.5,4605,27511,5162,3516,20818,623,532.5,458,831,10009.5,4440,25457,577.5,493.5,1743.5,90,16756
IB021_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11814,931,4471,27073,4156,3373,20103,621,519.5,364,671.5,5959,1606,25815,436.5,424,1819,133,16405
IB021_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,14286,844.5,4857,30154,3894,2777,17956,1027,346.5,306,612,4724,517,21072,388,388.5,2210,99,16918
IB021_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,14443,937,5427.5,30050,2876,2101.5,20010,640,474.5,407,859,2901,605,26415.5,446,427,1651.5,99,16565
IB021_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,12505.5,904,4802,26565,4047,3173,20506.5,1075,495,395,687,5172.5,687,27684.5,431,423,1638,115,16502
IB021_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10444,955,5467,26473,3621,2422,20160.5,611,3556.5,341,1798,3876.5,703,25226,455,795.5,1531,108.5,16802.5
IB021_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11213,890,4388,28111,3295.5,2120,20057,547,1336,289,648.5,3641,605,20333,367,426.5,1529,141,16571
IB021_5_NaCl_phospho,1,,,,,,,,,1,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10324,1058,3517,26034,2495,1448,20103,554,515.5,487,794.5,2071,408.5,19341,523.5,439,1321,105,16525
IB021_5_IL1A_phospho,1,,,,,,,,,,1,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10263,1064,3693,29704,3951,2566,21949,1323.5,531.5,307,646,4876,1099,21626,434,419,1529.5,129.5,16802
IB021_5_Teri_phospho,1,,,,,,,,,,,1,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,12907,900,3457,28204,2618.5,1873,18533,632.5,426,427,708,2640,477.5,23264.5,373,385,1534,123,16779
IB021_5_IL6_phospho,1,,,,,,,,,,,,1,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,13470.5,867.5,16871,28250,3794,2968,19167.5,603.5,1022.5,349.5,3940,4701.5,1187,22803,392.5,489,1399.5,92,16392
