,TR:CH040:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
CH040_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4555,426,7559,31319.5,1454.25,3289.5,4152.75,715.5,338.25,431,684,2651,491.75,18516,617.5,441.25,5750.5,109,15655.8
CH040_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4555,426,7559,31319.5,1454.25,3289.5,4152.75,715.5,338.25,431,684,2651,491.75,18516,617.5,441.25,5750.5,109,15655.8
CH040_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8774,577,7099,28596,2208,4969.5,5370,761,401,483,745,8648.5,2806.5,23414.5,674,522,4855,143,15408
CH040_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2808,470.5,7351,28988,1627,4362,5530.5,1147.5,361.5,466.5,673,5181.5,919,22237.5,549,396,6186,89,15579
CH040_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2603,484,6485,29450,1638.5,3612,3707.5,1081.5,364.5,469,787.5,3166,447,17541,527,318,6525.5,140,15629
CH040_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2282,517,6217,41406,1188,2764.5,3740,845,379,486,651,2126,607,16707,595,406,5968,130,15980.5
CH040_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8955,520,6574.5,42675,1814.5,3645,4663,1602,367,461,802,4103.5,768,19780,551,489,5885,112.5,15838
CH040_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2596,480,8923,33697,1621,2998,4775,610,4703,381,4516,3049.5,542,16275.5,535,795,7668.5,99,15487.5
CH040_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2277,464,8134,38590,1648,3110.5,5480,727,2130,365.5,821,2993,521.5,17252.5,575,479,7661,82,15983
CH040_5_NaCl_phospho,1,,,,,,,,,1,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,19179,504,9000,28238.5,827,3890,10396,865.5,362,342,661,4481,364,20229.5,474,400,4250,122,15476
CH040_5_IL1A_phospho,1,,,,,,,,,,1,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2915,624,6604.5,26161.5,1499.5,3879.5,6953,1947,387,468.5,638,5285,974,22110.5,600,363.5,5577,101,15546
CH040_5_Teri_phospho,1,,,,,,,,,,,1,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8811,485,5791,27858,1066.5,2725.5,3521,794.5,402,554,530,1736.5,374,20414.5,522.5,397,6534,132,15331.5
CH040_5_IL6_phospho,1,,,,,,,,,,,,1,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2444,510,33131.5,34158,1636,3794.5,4960,969,2103,510.5,7726,6022.5,1582,22457,736,576,6663,118.5,15394.5
CH040_5_INS_phospho,1,,,,,,,,,,,,,1,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10096.5,512,6478.5,36893.5,3277,7109,6841,1951,380,476.5,632,8626,2355,20449,670.5,315,4590,148,15584
CH040_5_LPS_phospho,1,,,,,,,,,,,,,,1,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,32127,673,9920,38451,3313,6966,19883.5,2825,368,475,745,16166.5,6729.5,21845,800,311.5,6764,122,15362
