,TR:IB018:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
IB018_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4645,788.25,8648.25,29750,2395.25,3011.75,16750.3,755.5,470.25,401.5,1532,3515.75,787.75,28780.8,507.5,444.5,2303.5,126,16952.5
IB018_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4645,788.25,8648.25,29750,2395.25,3011.75,16750.3,755.5,470.25,401.5,1532,3515.75,787.75,28780.8,507.5,444.5,2303.5,126,16952.5
IB018_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,12118,1072,10345,33466,3323,3548,19272,1152,624,706,1715,10921,4775.5,33166,838.5,583.5,3661,95,16871
IB018_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2953,719,7650,26311,2666,2706,15480,1126,546,351.5,1093,2450.5,1675,23172,453.5,382,1526,103,17113.5
IB018_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2758.5,681.5,7200,31020,2737,3254,15080.5,1055,419,419.5,2162,4440,517,25619,531,365,3118,95,16883
IB018_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11836,849,14406,26819,2105,2743,19283.5,1254,556,465.5,1784,3235,970,31850,546,512.5,2970,75.5,17172
IB018_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7764,934,10917.5,32669.5,2139.5,2561,15678,1041,440,527,1825,6387,1833,22826,613.5,563,1739,102,17148
IB018_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8079,725,10781,32058,2284,2701,14953,637,1989,527,2865,3895,648,22930,589,887,2022,124,16559.5
IB018_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7517,644.5,10688,31781,2521.5,2596,16466,869,726,458,1842.5,2973,591.5,23034,549,367,2023.5,82.5,16871
IB018_5_NaCl_phospho,1,,,,,,,,,1,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,24903,896,11216,34966,1991.5,2368,21788,952,517,535.5,2218.5,2267.5,518,25757,554,328,2688,91.5,17056
