,TR:CH009:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
CH009_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1364,1254.5,3814.75,28988.5,1904.75,2326.5,18966.3,698.5,683.25,399.5,945,2498.5,704.5,20569.8,506.5,398,1764.75,109.5,16749
CH009_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1364,1254.5,3814.75,28988.5,1904.75,2326.5,18966.3,698.5,683.25,399.5,945,2498.5,704.5,20569.8,506.5,398,1764.75,109.5,16749
CH009_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1523.5,1428,5122,32381,3110,4232.5,21003,1415,747,641,1015,8422,4578,28712,706,619,2261,100,16821
CH009_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1048.5,1202,5419,33997,2327.5,3364,17829.5,745,578,354,1026.5,3188.5,525,24096,571,499,2684,104,16936
CH009_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1040.5,1168,4485,32197,2033,2980.5,17356,600.5,606,458,1103,2115,454,23991.5,417,468,2889,101.5,16565
CH009_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1893,1312.5,4653,33374,2099,3323,19514.5,763,792.5,542.5,1026.5,3231.5,586,24407,538,505,2343,133,16680
CH009_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1107.5,1097,4465,31215.5,2059.5,3254,17921.5,667.5,590.5,317,1023,3152.5,466,8278,447,468,2671,127,16658.5
CH009_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1167,1208,5142,34920,2421.5,2946,18083.5,1141,3217.5,485,4321,4569,1161.5,20091.5,544,686,2397,83,16724
CH009_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1599,1233,5741.5,37078,2268.5,2664,20021.5,1239,1424,483.5,1078,3642,452,22411,485,525,2269,102.5,17033
CH009_5_NaCl_phospho,1,,,,,,,,,1,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6610,1340,6889,30604,1699,1800,22572,897.5,581.5,500.5,871,1888,476.5,22883.5,502,501,1480.5,98.5,16503.5
CH009_5_IL1A_phospho,1,,,,,,,,,,1,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,639,1470,2950,26034,2256,1940,17218,2007,829,342.5,876,1726,508,23368.5,418,352,2121.5,94,16802
CH009_5_Teri_phospho,1,,,,,,,,,,,1,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,867,1220,3016.5,28676.5,1649,2623,17772,755,607,349,1048,1824,443.5,21257,460,427.5,2107,149,16918
