,TR:UZ034:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
UZ034_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2550.25,546.5,8330.5,34885.5,1492.5,3778,5570.75,1002.25,390.75,458.25,987,3152.25,916.25,18931.8,793,486,8736,110.25,15740
UZ034_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2550.25,546.5,8330.5,34885.5,1492.5,3778,5570.75,1002.25,390.75,458.25,987,3152.25,916.25,18931.8,793,486,8736,110.25,15740
UZ034_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3768,677,7990,29635,1829,4373,7910,1091.5,436,531,726,4270,2689.5,22157,998,522,7845,93,15416
UZ034_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5314,496,10277,32566,1772,4955.5,5103.5,1118,495,560.5,671,3651.5,1090,20506.5,1139.5,445,7648,86,15424.5
UZ034_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4152,578,9443.5,33154.5,1368,4380,5081,1291.5,430,557,852,2614,647,18129.5,979,502.5,11535,99,15760
UZ034_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4537,608,10139,32150,1175,3009.5,4600,864.5,458,509.5,1189,2280,553,21926,905.5,496.5,9793,99.5,15967
UZ034_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4825.5,597,9452,32254.5,1369,4328,4395,948.5,426,520,644.5,2656,796,17136.5,986.5,418.5,7786,106,15571.5
UZ034_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4012,582,12112,34366,1651,4325.5,6451.5,778,5336,615,4918,2849,754.5,20587,881,1574,7844,101,15860
UZ034_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4242,504,9890.5,35993.5,1370,4458,6050,720,792.5,412,1344,3018,768,19549,812,388,9480.5,97.5,15551.5
UZ034_5_NaCl_phospho,1,,,,,,,,,1,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11735,625,7215.5,31331.5,864.5,3489.5,13055.5,1518,436,689.5,721,2543,554,21095,919,527,5722.5,98,15902
