,TR:IB068:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
IB068_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4166.75,1186,7524,25233,2417.75,3867.25,14100,902.25,664.5,495.5,1955.5,5969,911.5,28128.3,500.5,429,7149.25,117.25,17118
IB068_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4166.75,1186,7524,25233,2417.75,3867.25,14100,902.25,664.5,495.5,1955.5,5969,911.5,28128.3,500.5,429,7149.25,117.25,17118
IB068_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,15071.5,1760,5601,10556.5,3625,2115,14841,1492.5,745,976.5,766,9871,3267,23301,1069,719,8195.5,143.5,16933
IB068_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1170,927,5113,9369,3518.5,1951,12325.5,1538,781,828,547,9378,2159,20555.5,815,561.5,4225.5,94,16933
IB068_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,13315,939.5,4328.5,8202,1766.5,1839,12988,1457.5,544,746,666,3429,583,18202,698,596,3035,102,16864
IB068_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,13848,901,4723.5,8466.5,1643,1851.5,12617,534,554,653,583,3757.5,587,20590,421,598,3515.5,161,16956
IB068_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1199,890,4638,9074,1699,1872,12214,510.5,523,584,575,3834,547,19379,413,582,3588.5,141,16783.5
IB068_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,14018.5,1064,13947.5,10112,1632.5,1958.5,13174,516,3984,459.5,694,4135,606,20601.5,370,535,3809,128,16956
IB068_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,17049,932,8104,9234,1739,2427.5,13551,402.5,500.5,437,564,6827,628,34351,401,398.5,4663,97,16772
IB068_5_NaCl_phospho,1,,,,,,,,,1,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,20302,993,8712,8758,1787,2092,14842.5,456,523.5,692,652,4346,644,20140,634,685.5,3767,141,16772
IB068_5_IL1A_phospho,1,,,,,,,,,,1,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1854.5,1913,10073,27822,2593,3143.5,13040.5,1642,921.5,966,3365.5,6917,1418,30948.5,884,648.5,8549,97,17349
IB068_5_Teri_phospho,1,,,,,,,,,,,1,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1779,984,6375,31952,1891.5,4814.5,12522,1370,628,741,3310,5182,953,24546,665,413.5,4735,86,16841
