,TR:UZ002:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
UZ002_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9349.5,723.75,5164,29288.5,2040.5,3110.5,13070.3,702.5,378.5,435.75,764.5,5052.75,1058.5,25064.8,600,487,2101,114.5,15425.5
UZ002_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9349.5,723.75,5164,29288.5,2040.5,3110.5,13070.3,702.5,378.5,435.75,764.5,5052.75,1058.5,25064.8,600,487,2101,114.5,15425.5
UZ002_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4858.5,399,2419,20587,490,1446,4029.5,954,490.5,417,568.5,1446,753,9107,414.5,631,734,91,15695
UZ002_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3612,643,3672,23934,1306,2664,9301,776,395.5,395,496,3818,683,20541,500.5,556,1565,139,15958
UZ002_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3895,534,3416,24026,777,2420.5,8789,773,350,474,518,3064,528,21545,548,546.5,1836,66,16201.5
UZ002_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,21222.5,643.5,6869,37136,1102.5,2472,18510,761,394,474,540,2803,617,27950,657,590,1676.5,145.5,16179
UZ002_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4338,803,4373.5,25573,1291,2719,9390,804,327,468.5,530,3481,756,30189,513,521,1611,121.5,15693
UZ002_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5005,541.5,7737,33997,1736,2959.5,11015,554,1895.5,302.5,2070,3466,652,20264,473,891.5,1869,83,15499
UZ002_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5041,416,1265.5,17564,552,830.5,1537,369,630,NaN,492,809.5,450.5,4049,355,589,621,105,16021.5
UZ002_5_NaCl_phospho,1,,,,,,,,,1,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11027,780,1754,19526,960,2220,11804,607,450,662,518,1454,378,15916,464,574,2206,158,15273
UZ002_5_IL1A_phospho,1,,,,,,,,,,1,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5085.5,579,1590,16452,1466,2236,9855,1214,445,488,449.5,2496,1905,13616,485,553.5,1842,107,15685
UZ002_5_Teri_phospho,1,,,,,,,,,,,1,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5522,573,3037,22503,1126,2299,9018,562,390,459.5,484,2351,487,20968,481,350,2755,97,15394.5
UZ002_5_IL6_phospho,1,,,,,,,,,,,,1,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8151,881,16244,25642,2400,2519,8485,522.5,699.5,414,2267,2965,1641,28099.5,471,435.5,2318,105,15298
UZ002_5_INS_phospho,1,,,,,,,,,,,,,1,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6485,524,1500.5,15606,3127,5090,8384,1067.5,261,490.5,405.5,1926,480,13878,422,378,1143,93,15555
UZ002_5_LPS_phospho,1,,,,,,,,,,,,,,1,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,12784,581.5,4235,30789,2836.5,2133,25238,1443,336,397,570,14212.5,4716.5,26923,536,724,1712,92,15268
UZ002_5_EGCG_phospho,1,,,,,,,,,,,,,,,1,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,27384.5,367,1528.5,24268.5,2543.5,1136,37920,1345,468.5,318.5,613,10591,5623.5,3122.5,281,333.5,822.5,136,15705.5
UZ002_5_PolyIC_phospho,1,,,,,,,,,,,,,,,,1,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4491,655,3889,22457,1706,2799.5,21106.5,1314,340.5,521,479,9883,3752,29150,574,593.5,2774,122,15542
UZ002_5_conA_phospho,1,,,,,,,,,,,,,,,,,1,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8162,1387,7028,27742,2980,4287,22180,1127.5,998.5,1237.5,850,13188,5299,28088,2205.5,712,4445,89.5,15597
UZ002_5_S1P1_phospho,1,,,,,,,,,,,,,,,,,,1,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7535,864,6047,27650,2782,3549,8030,851,432,420.5,572,3236,2297.5,29184.5,670,578.5,2509,110,15380
UZ002_5_TNFA_phospho,1,,,,,,,,,,,,,,,,,,,1,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11620.5,675,3571.5,20772,2189,3683,17667.5,1762,333,332.5,586,9568,2457.5,30743,626,551,1432.5,124,14956
UZ002_5_vitD3_phospho,1,,,,,,,,,,,,,,,,,,,,1,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5236,606,3209,26392,1636,2488.5,8157,571,357.5,368,553,2640,592,30627,498,451,3226.5,89,15621
UZ002_5_DMF_phospho,1,,,,,,,,,,,,,,,,,,,,,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7459,593,2455,26334,1290,2530,20321.5,730.5,329.5,308,543,2404,545,21118,503.5,461.5,1659,78,16139
