,TR:UZ022:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
UZ022_5_IL1A_phospho,1,,,,,,,,,,1,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1184,677,2278,24685,1835,1784,8861,1274.5,457,392,703,2491,532,23393,377,370,1281.5,78,16691.5
UZ022_5_Teri_phospho,1,,,,,,,,,,,1,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9073,557,2875,30775,1358,1386,9144,698,401.5,361.5,524,1647,370,26911,387,307,1766,133.5,16439
UZ022_5_IL6_phospho,1,,,,,,,,,,,,1,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1389,381,9560,29391,1230,1622,5808,632,503,209.5,3581,2916.5,407,15399,313,356,1041,92,16167.5
UZ022_5_INS_phospho,1,,,,,,,,,,,,,1,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1166,440.5,3273,26277,3462,3666,5664.5,636,431,360,838,3480,728,25492,416.5,386,1471,129,17164
UZ022_5_LPS_phospho,1,,,,,,,,,,,,,,1,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1498,677.5,2324,24985,1950,2680.5,15357.5,1305,321.5,473,712,8615,1603,27015,486,467.5,2062,116,16564
UZ022_5_EGCG_phospho,1,,,,,,,,,,,,,,,1,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,17556,442,1153,15871.5,4046,1230,38792.5,530.5,465,555,559,3008.5,1208,21201,422,443,1268,132,16272.5
UZ022_5_PolyIC_phospho,1,,,,,,,,,,,,,,,,1,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1373,576,3143.5,29507,2132,1990,8980,945.5,406,386,665,2602,537.5,23508,399.5,298,1230,103.5,16646
UZ022_5_conA_phospho,1,,,,,,,,,,,,,,,,,1,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5368,603,2500,30937,2067,2508,5830,633,420.5,459,897.5,2563,524,24846.5,567,261.5,1645.5,89.5,16657
UZ022_5_S1P1_phospho,1,,,,,,,,,,,,,,,,,,1,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7991,311,1610,19794,2249,1434,5611,697,287,430,712,3016,301,7942,493,318,1107,99,16252
UZ022_5_TNFA_phospho,1,,,,,,,,,,,,,,,,,,,1,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5103.5,535.5,3065.5,37281,2117.5,2315.5,11607.5,3003,409,348.5,618.5,3097,604,28861,432,402,1269,86,17141
UZ022_5_vitD3_phospho,1,,,,,,,,,,,,,,,,,,,,1,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4630.5,491,2989,33878.5,2248,2411.5,5824,517,344,450,603,2663,405,25285,531,370,1867,122,16541
UZ022_5_DMF_phospho,1,,,,,,,,,,,,,,,,,,,,,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4045,497,2869,27061,1932,1670,6811,504.5,404,330,618.5,1507,406.5,24662,379,255,1619,83.5,16910
