,TR:UZ022:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
UZ022_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2760.5,515.75,2702,27834,1655.5,2035,7370.25,556,362,405.25,768.75,2235.5,466,22135.8,463.75,419.25,1408.5,105.75,16783.5
UZ022_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2760.5,515.75,2702,27834,1655.5,2035,7370.25,556,362,405.25,768.75,2235.5,466,22135.8,463.75,419.25,1408.5,105.75,16783.5
UZ022_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4740,718,2940,25954,2930,2452,8371,798.5,677,585,1006,4202,1418.5,24765.5,606,504,1615.5,137,17003
UZ022_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1270,642,2318,23450.5,2028,2174,9981,1180.5,327,441.5,630.5,4266,668,22989.5,538,451,1142,79,16841
UZ022_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7194,400.5,2018,23289.5,1976,2773,5309,595,275,386,666,1440,331,18571,358,306,2226.5,115.5,16426
UZ022_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1403,541.5,2587,27326.5,1298,1572,6237,728.5,426,584,886,1825,409.5,22920,393.5,399,1299.5,92,17003
UZ022_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11807,608,4484,30545,995,1830,14684,532,490,412.5,899,2703,557,25654,550,642,1856,124,16587
UZ022_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1146,445,1862.5,24339,1505,1569.5,5888,906,1691,519,3280,1527,407.5,14738,436.5,1101,923.5,85,16933
UZ022_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1174,586.5,4133,36243,1421.5,1789,8782,493,806,317.5,658.5,1790.5,416,21178,557,430.5,1944,96,16795
UZ022_5_NaCl_phospho,1,,,,,,,,,1,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11800,568,2958,26392,1100,1677,14295,637,400,486,838,1710.5,415,22574,489.5,468,1194,125,16394.5
