,TR:KI049:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
KI049_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1505.25,948.5,4598,37228,1174.5,3334,11804.5,1377.5,505.25,366,760.5,2126,598.5,32923.5,402,556.75,2805.5,126.75,16108.5
KI049_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1505.25,948.5,4598,37228,1174.5,3334,11804.5,1377.5,505.25,366,760.5,2126,598.5,32923.5,402,556.75,2805.5,126.75,16108.5
KI049_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1740,1284.5,5199,41475,1826,4434,15136,1066,803.5,753.5,1142,4500,2174,38567,732,682,6241,133,16400
KI049_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1284.5,1094,3748.5,35012,1656,4263,16079.5,2038.5,551.5,386,774.5,3585.5,862,27557.5,450.5,613,2547,106,15808.5
KI049_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1411.5,971.5,4956,39975,1063,3258.5,8941,805,552,423.5,880.5,1787,387,29080.5,379,491,4677,105,15911
KI049_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3846,963.5,5110,41682,1076.5,2764,10659,933,468,394,796,1822,398,29000,404.5,506,2424,80,15620.5
KI049_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1864,1016,4367,33477.5,1435,4007,8955,957,488.5,453.5,778,3153,863,26761,386,488,2405,141.5,15845
KI049_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1306.5,1020,8266,34897,1472,4116,9347,799,4743,471.5,3470,3058,841,28088.5,361,2208,2618,134,16474.5
KI049_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2066.5,903,5170,39698,1594,4197,9454,781,1334,473,795,3109,820,29312,371.5,478,3519,96.5,15917
KI049_5_NaCl_phospho,1,,,,,,,,,1,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3287,1068,5529,39767,858,2767,17748.5,1139,538.5,300,846,1359.5,371,36951,358.5,547,2020,110,15939
