,TR:CH026:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
CH026_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1882.75,620.5,3321.5,36789.5,1023.25,2641.5,5041.5,701.75,371,432.5,717.5,2209.5,440.5,20546.8,584.25,417,2567.5,98.5,15472.8
CH026_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1882.75,620.5,3321.5,36789.5,1023.25,2641.5,5041.5,701.75,371,432.5,717.5,2209.5,440.5,20546.8,584.25,417,2567.5,98.5,15472.8
CH026_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3948.5,816,5110,41313,1838.5,4886,11494,1955,483,581,946,12680,5400,28296,718.5,501,3891,109,15191
CH026_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2976,748,5273,40921,1876,4960,15097,2761.5,472,569,796,13888,5549,29358,662,336,3815,121,15333
CH026_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4007,703,3885,32866,1082.5,2835.5,4174,686.5,420,403.5,741.5,1890,363,17587,551.5,482.5,4113,122,15321
CH026_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3913.5,712,3961,33351,948,2412.5,6632,729,419,442.5,751.5,2362,397,21268.5,517,326.5,2920,117.5,15321
CH026_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,22376.5,673,4829,29958,1240,3200,14018,873.5,445,467,807,3661,774,27684.5,471,350,3262.5,128.5,15445
CH026_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3198,676.5,5398.5,33281,927,2544.5,5869.5,630,4648,467,4586,2316,414,16933.5,516,646,3183,134,15146.5
CH026_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2815,551,5967.5,33362.5,1162,3066.5,6275,578,1645,398,844,2011,533,19064,470,523,3721,82,15253
CH026_5_NaCl_phospho,1,,,,,,,,,1,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11817,664.5,3713,36674,723,2061,13273,1011.5,430,405,628,1456,340,18902.5,480.5,498,2058,84,15209
CH026_5_IL1A_phospho,1,,,,,,,,,,1,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2612,700.5,3434,42675,1256,3111.5,9246,2616,419,589,782,5047,1046,23045,651,509,3235,113.5,15594
CH026_5_Teri_phospho,1,,,,,,,,,,,1,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4660,666,4456,42029,1208,2239,5757,1096.5,468.5,662.5,776,1960,405.5,23357,664,438,4837,104,15293
CH026_5_IL6_phospho,1,,,,,,,,,,,,1,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1063.5,584.5,24707.5,34112,1290,3317,5680,803,1291,504,6817,4077.5,1283.5,23495.5,477,602,3084,114,15080.5
CH026_5_INS_phospho,1,,,,,,,,,,,,,1,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2791,543,4273,41129,2118,6391.5,4188.5,928,453,501,774.5,3947.5,1011.5,23542,494,312,3311,111.5,15822
CH026_5_LPS_phospho,1,,,,,,,,,,,,,,1,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4270,798,3904.5,33051,1449.5,4080,17079,2431,392,402,664,15494.5,5545,26311,486,439,3429,92.5,15671.5
CH026_5_EGCG_phospho,1,,,,,,,,,,,,,,,1,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10973.5,497,978,22422.5,1956.5,1257,21141,2040,541,288.5,659,5437,1236,19456,338,284,1627,120,14971
