,TR:IB025:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
IB025_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1953,648.75,2029.75,27453.5,1591,2693.5,7016,1002.25,407,423,660,2984.5,1052,18244.8,531,474.25,1437.5,129.75,15143.5
IB025_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1953,648.75,2029.75,27453.5,1591,2693.5,7016,1002.25,407,423,660,2984.5,1052,18244.8,531,474.25,1437.5,129.75,15143.5
IB025_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3066,884.5,2799,26265,2489,3978,11534,1277.5,480.5,569.5,752,8010,5017,23472,601.5,532,1743,110,14905.5
IB025_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2795,711,2322,26542,2197.5,3618.5,11064,1345,426.5,456,687,5364,2925,22399,622,499.5,1522,93,15223
IB025_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1290,507.5,1105.5,20483.5,591,903.5,1573.5,631,522,359,505.5,983,489,7466,442.5,569,934,90,15318
IB025_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2200,503,1452,26034,518.5,1136.5,4247.5,862,451.5,509,592,1647,488,9527,432,626,845.5,96,15309
IB025_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1652,478,1516.5,20726,642,1450,5789,1030.5,367.5,653.5,560,2042,626,10445,508,507,883,78,14921
IB025_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2843,712,3452.5,21106.5,1672,2928,7506,814.5,1915,460,1421,3087,1403,19422,432,1431.5,895,115,14933.5
IB025_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1491,526,2342,23991.5,637,1195,4524,761.5,804,490,595,1810,611,NaN,485,555,901.5,106,14917
IB025_5_NaCl_phospho,1,,,,,,,,,1,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2184,716.5,2193,23242,914,1570,9547.5,648,388.5,377,586,1496,457,21314.5,476.5,542,1162,99,14848
IB025_5_IL1A_phospho,1,,,,,,,,,,1,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2377,835,2340,23288,2192,3694,9531,1424,483,577,726,4457,1872.5,22249,659.5,355,1712,119,15031.5
IB025_5_Teri_phospho,1,,,,,,,,,,,1,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2633,712,2315,25365,1347,2112,9805,1306,393,412.5,710.5,4525,1798,22226,512,428,1662.5,93,14994
IB025_5_IL6_phospho,1,,,,,,,,,,,,1,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2663,553,9318,29196,1978,3592,5522.5,847,676,389.5,2008,4357.5,1782,23057,474,543.5,1305.5,114,15418.5
IB025_5_INS_phospho,1,,,,,,,,,,,,,1,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2646,706,1644.5,28365,3437,4763,16014,1671.5,395,621,613,4182,2417,19503,695,496,1590,103.5,15312
IB025_5_LPS_phospho,1,,,,,,,,,,,,,,1,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2831.5,918,2139.5,26034,2262,3397,17610,1921,432,474,544,7659.5,5497,23426,498,448,1351,100,14900
