,TR:CH035:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
CH035_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2891.5,616,8923,30581,1412.25,2857.5,13563.5,611,421,405.25,837,2191,481,23743.8,419.75,373.75,4542.5,117.5,16813.5
CH035_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2891.5,616,8923,30581,1412.25,2857.5,13563.5,611,421,405.25,837,2191,481,23743.8,419.75,373.75,4542.5,117.5,16813.5
CH035_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4709,1245,10109,31573,2591.5,3791,15815,1022.5,679,1623,1132,6861,2718,33351,1629,452,5922,94,16571
CH035_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5210,680,9426,29335,1795,3192,14210.5,1654,475,361,744.5,4627,840.5,25746,463,410,3965,94,16710
CH035_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4145,534,8411,29681,1276.5,2506,12884,571,366.5,330,780.5,1684,352,20934,399,270.5,5583,90,17056
CH035_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1698.5,569,8887,32589,1261.5,2638,12216,666,383,388,971.5,1855,347.5,25550,384,349,5453,108,17252.5
CH035_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9755.5,628.5,7480,28942,1287,3162,12568,678.5,356,346,740,1878,412,22156.5,440.5,525,4860,107,16964
CH035_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4623,531,11260,33489,1279.5,2708,12324,549.5,3333.5,318.5,3901,2348,427.5,25388,447,557,5629,125,16664
CH035_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4825,533,10099,33304,1231,2330,12301,510,850,311,967.5,1770,384,15617,490,466,5058,103,16918
CH035_5_NaCl_phospho,1,,,,,,,,,1,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,41913,871,10863,28700,1501,3311,21857,1331,536,668,931,2634,399,28988,707.5,419,3898,90,16889
