,TR:KI040:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
KI040_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5820.75,449.75,7035.5,26288,2332.25,4035.75,8351.25,897.75,308.5,414.25,437,2311.25,521.75,25301.5,639,369.25,6598.5,109.25,15132.3
KI040_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5820.75,449.75,7035.5,26288,2332.25,4035.75,8351.25,897.75,308.5,414.25,437,2311.25,521.75,25301.5,639,369.25,6598.5,109.25,15132.3
KI040_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9222.5,688,8071,24880,3099,4823,12729,1697.5,407.5,616,588,4631,1302,28273,911,440,7456,133,15463.5
KI040_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7527,483,7545,25688,2639,4232.5,10003,1156,290,354,414,3017,658.5,27419,702.5,395,6823,126,15434.5
KI040_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6663,495.5,7591,27027,2217.5,3690,7219,1171.5,299,473,563,1882,434,22988,667,429.5,8687,114,15181
KI040_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9241.5,507,7503,25434,2245,3644.5,9318,979,269,381,495.5,1877,409,24257,837,395.5,6404,127,15196
KI040_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6371,511,7370,23657,2029.5,3537,6717,1122.5,285.5,393,353.5,2795,591,24268.5,538,407,5788,104,15465
KI040_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7087,569,8458.5,25365,2537,4355,10113,1163,1831,556.5,1526,3134,741.5,27407.5,753,573,6094,127,15053
KI040_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5663,528.5,7446,27615.5,2590,4517,10276.5,1088.5,622,343,403,2838,679.5,28261.5,654,392.5,7011,136,15425.5
KI040_5_NaCl_phospho,1,,,,,,,,,1,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,14333,392,7963.5,24245.5,1466,2962.5,16399,993,288,377,340,1419,365,26749.5,555,478.5,5550,125,15244.5
