,TR:CH064:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
CH064_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2586.5,1008.75,10461,34273.5,2779.75,4657,18187,705.25,504.75,318.25,1134,1986.5,591.75,32964,479.25,409.5,5015.75,114.5,16987.3
CH064_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2586.5,1008.75,10461,34273.5,2779.75,4657,18187,705.25,504.75,318.25,1134,1986.5,591.75,32964,479.25,409.5,5015.75,114.5,16987.3
CH064_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3916,1169,11644.5,32197,3919,6912,19318,874,664.5,456,1171,6587,4024,35439.5,586.5,449,6007.5,107,17146
CH064_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3864,1082.5,8810,31204,3603,6191,19433,1866,479,493,1246.5,5030,1348,35508.5,353,440,4836.5,91,17148
CH064_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3754.5,1086,9926,30650,2955,4221.5,19087,759,605,387.5,1198.5,1736.5,518,31573,449,452,6261.5,85,17079
CH064_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3968,1188,10928,35566,2573.5,4198,19583.5,656,568,442,1055.5,1535,496,31573.5,642,365,4813.5,91.5,16918
CH064_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4576.5,981,10680,32751,2611,4794,18626,644,467,341.5,1263,1718,540,29265,434,447.5,4635,129,17079
CH064_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3889.5,1349,16679,42306,2975,5413,17818,792,3941,601,7086,1712,455,30246,580.5,770,5299,141,16803.5
CH064_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3804.5,1034,12563,42524.5,2656,5052,18949,723.5,1052,361.5,1169,1738,630,27292,406.5,NaN,4096.5,85,16548.5
CH064_5_NaCl_phospho,1,,,,,,,,,1,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10471,1182.5,13655,37090,1878,3710,21903,840,702,398,1277,1186,402,35174,503,506.5,4559,87,17079
