,TR:UZ033:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
UZ033_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,950,6290.25,33021.8,1118.5,3076.25,8660.5,807.5,427,299.5,910.75,3052.25,655.5,24851.5,345,366.5,1502.75,107.5,15673.3
UZ033_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2008,950,6290.25,33021.8,1118.5,3076.25,8660.5,807.5,427,299.5,910.75,3052.25,655.5,24851.5,345,366.5,1502.75,107.5,15673.3
UZ033_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2711,1281.5,7436,28815.5,1851,4712.5,10508,1238,572,373,1179,7875.5,4278.5,36236,460,486,2087.5,87,15866
UZ033_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2825,1045,7044.5,37401.5,1384.5,3975,10475.5,1223,407,358.5,1144,4183,844,7536,381,310.5,2064,118,15984
UZ033_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3286,982,8365,37308.5,1327,3490,9579,1326,379,257,1367,3365,527,21464,387,330,3727,85,15360
UZ033_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3207,970,7323,35566,1058,3315,9302.5,925,476,209,1137,2333,540.5,2859,374.5,346,2598,128,15655
UZ033_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3584,863,4633,35531.5,1441.5,3643,9797,1329,416,398.5,732,4270,914,18013.5,396,469,1971,118,15611
UZ033_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2860,1068,10528,39975,1481,4084,10321.5,1313,2839.5,324.5,3012,4645.5,891,31735,392,938,3132,118,15893
UZ033_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2891,879,9472,38601.5,1285.5,3759,10012,1062,1109,260,1337.5,4105,813,24788,355,542,2334,83.5,15469
UZ033_5_NaCl_phospho,1,,,,,,,,,1,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5933.5,878,3562,20437.5,645,1740,18372,1454,583,456,666.5,992,322,27742,394,593,1101,69,16214.5
UZ033_5_IL1A_phospho,1,,,,,,,,,,1,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,973,1087,3667,21464,1283.5,3656,12148,1811,393,369,785,3250,602,30235,275,420.5,992,99,15574
UZ033_5_Teri_phospho,1,,,,,,,,,,,1,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3810.5,1081,3076,19526,869,2248.5,9150,1111,357.5,342,620,2002,469,33281,301,229,759,115.5,15348
