,TR:CH020:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
CH020_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7429,804,3681,29934.5,1316.75,2336.5,9649,887.5,506,539,839,2090,547.5,17841,637.5,485.5,3740.5,97.5,15170.8
CH020_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7429,804,3681,29934.5,1316.75,2336.5,9649,887.5,506,539,839,2090,547.5,17841,637.5,485.5,3740.5,97.5,15170.8
CH020_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,14867.5,1019,5104,33443,1080.5,2933,14217,1814,837,1175.5,976,2710,1045,14347.5,1040,670,2664,91,15103
CH020_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3683,925,5792,33512,842.5,2566,11008,1059,512.5,776,797.5,2269,644,14082.5,597,579,2344,126,15042
CH020_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,12435,880,5080.5,33731.5,1540,2873,13451.5,1011,546.5,464,936.5,2290,415.5,19480,778,584.5,5004,130.5,15508
CH020_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,14196,570,2765,32404,701,1769,14732,824,473,419,930,1505,409,13026,472,405,2178,119.5,15046
CH020_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,14757,875.5,4482,33708.5,1396.5,2603,12728,1251,481,604,948,2638,718.5,16594.5,712,661,4095,115,15112
CH020_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,16090.5,910,5900,33443,1565,2761,14779.5,802.5,2247,425,3135,2526,691.5,16226,590,942.5,4540,95,15017
CH020_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5186,847,4772,32658,1433,2638.5,10940,981.5,614,460,809,2587.5,469,14555,744,570.5,4330,112,15278
CH020_5_NaCl_phospho,1,,,,,,,,,1,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,30766,NaN,838.5,20218,431.5,1111.5,NaN,NaN,486,NaN,435,597,277,NaN,493,NaN,NaN,105,14951
