V1,V2,V3
1,AKT1,1,GSK3A
2,AKT1,1,STAT1
3,EGCG,-1,EGFR
4,EGFR,1,CBL
5,GP130,1,JAK1
6,IFNG,1,JAK1
7,IL1A,1,IL1R1
8,IL6,1,GP130
9,JAK1,1,STAT1
10,JAK1,1,STAT3
11,MAP3K1,1,MK12
12,MK12,1,SGK
13,PI3K,1,PIP3
14,PIP3,1,AKT1
15,RAF1,1,MP2K1
16,RAF1,1,SGK
17,RAS,1,RAF1
18,REBIF,1,JAK1
19,SGK,1,MKO3
20,SLP76,1,AKT1
21,TCRP,1,ZAP70
22,ZAP70,1,SLP76
23,INS,1,PI3K
24,H2O2,1,NF2L2
25,ZAP70,1,GRB2
26,TAK1,1,MK12
27,BDNF,1,GRB2
28,MKO3,-1,LCK
29,GRB2,1,RAS
30,CONA,1,GRB2
31,ANTICD3,-1,FYN
32,ANTICD3,1,TCRP
33,TNFA,1,MAP3K1
34,IL1R1,1,TAK1
35,POLYIC,1,TAK1
36,LPS,1,TAK1
