V1,V2,V3
1,AKT1,1,STAT1
2,EGCG,-1,EGFR
3,EGFR,1,CBL
4,GP130,1,JAK1
5,IFNG,1,JAK1
6,IL1A,1,IL1R1
7,IL6,1,GP130
8,JAK1,1,STAT1
9,MAP3K1,1,MK12
10,MK12,1,SGK
11,PI3K,1,PIP3
12,PIP3,1,AKT1
13,PLCG1,1,DAG1
14,RAF1,1,MP2K1
15,RAF1,1,SGK
16,RAS,1,RAF1
17,REBIF,1,JAK1
18,SGK,1,MKO3
19,SLP76,1,AKT1
20,TCRP,1,ZAP70
21,ZAP70,1,SLP76
22,DAG1,1,RAS
23,INS,1,PI3K
24,H2O2,1,NF2L2
25,TAK1,1,MK12
26,BDNF,1,GRB2
27,MKO3,-1,LCK
28,GRB2,1,RAS
29,CONA,1,GRB2
30,ANTICD3,1,TCRP
31,TNFA,1,MAP3K1
32,IL1R1,1,TAK1
33,POLYIC,1,TAK1
34,LPS,1,TAK1
