V1,V2,V3
1,EGCG,-1,EGFR
2,EGFR,1,CBL
3,GP130,1,JAK1
4,IL1A,1,IL1R1
5,IL6,1,GP130
6,JAK1,1,STAT1
7,JAK1,1,STAT3
8,LCK,-1,STAT3
9,LCK,-1,STAT5
10,MAP2K4,1,MK12
11,MAP3K1,1,MAP2K4
12,MAP3K1,1,MK12
13,MK12,1,SGK
14,PI3K,1,PIP3
15,PLCG1,1,DAG1
16,RAF1,1,MP2K1
17,RAS,1,MAP3K1
18,RAS,1,RAF1
19,REBIF,1,JAK1
20,SGK,1,MKO3
21,TAK1,1,MAP2K4
22,FYN,-1,ZAP70
23,DAG1,1,RAS
24,INS,1,PI3K
25,ZAP70,1,GRB2
26,TAK1,1,MK12
27,NACL,1,MK12
28,BDNF,1,GRB2
29,MK12,1,HSPB1
30,MKO3,-1,LCK
31,MKO3,1,ZAP70
32,GRB2,1,RAS
33,CONA,1,VAV
34,CONA,1,GRB2
35,TNFA,1,MAP3K1
36,IL1R1,1,TAK1
37,POLYIC,1,TAK1
38,LPS,1,TAK1
