,TR:CH046:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
CH046_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2596,491.75,6616.25,35176.3,1304.5,3111.75,1696.5,970.5,408.5,437,967.75,3041,498.5,30533.3,550.75,507.25,7570,99.5,17372
CH046_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2596,491.75,6616.25,35176.3,1304.5,3111.75,1696.5,970.5,408.5,437,967.75,3041,498.5,30533.3,550.75,507.25,7570,99.5,17372
CH046_25_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,2596,491.75,6616.25,35176.3,1304.5,3111.75,1696.5,970.5,408.5,437,967.75,3041,498.5,30533.3,550.75,507.25,7570,99.5,17372
CH046_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5780.5,572.5,6972,36369.5,2158.5,5064.5,2685.5,1047,480,504,1064,9627,2457,33774,644,651,9463,87.5,17129.5
CH046_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3799,462,6235,33359,1985,4653,3468,1892,411,457,900.5,7967,1295.5,32275,558,552,8850,89,17164
CH046_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3987,496,6141.5,31998,1268,3130,1455,941,420,432,1016,2805.5,409,27603,496,533,10063,101,17267.5
CH046_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3466,491,4866,29945,1095.5,2375,1810,1502.5,388,585,859.5,2551.5,427,26184,497.5,516,5149,104,17118
CH046_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4191,495,5435,28884,1285,2801,1557,1625,393,537,880.5,3184.5,555,28122,541.5,553.5,5173,86,17210
CH046_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3953.5,469.5,6748,33959,1271.5,2759.5,1974,946,4915,440.5,5670.5,2791,437.5,25700,570,656,7870.5,112.5,17187
CH046_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3857.5,454,6629,35620,1140,2666,2088,986,1920,412,1177,2290,431,28261,546,480,8208,83,17429.5
