,TR:UZ028:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
UZ028_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1073.75,902.5,2759.75,34948.8,1065.5,1976,7032,682.5,467.5,384.5,1035.5,2215.25,634.5,19843,471.75,473.5,1720,99,15094.5
UZ028_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1073.75,902.5,2759.75,34948.8,1065.5,1976,7032,682.5,467.5,384.5,1035.5,2215.25,634.5,19843,471.75,473.5,1720,99,15094.5
UZ028_25_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1073.75,902.5,2759.75,34948.8,1065.5,1976,7032,682.5,467.5,384.5,1035.5,2215.25,634.5,19843,471.75,473.5,1720,99,15094.5
UZ028_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1768.5,990,2762.5,29612,1206,2050,7517.5,606.5,498,457.5,982,2495,847,18095,511,509,1413.5,101,15022.5
UZ028_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1523,877,2331,27881,1035.5,1814,6279.5,575,471,340.5,919,1862.5,500,19549,424,375,1104,88.5,14940
UZ028_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1938,891,3167,36016.5,1100,1860,6537.5,605,449.5,365,1061,1892,446.5,7229,435,483,1786.5,97,14724
UZ028_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1516,780,2029,25953.5,961,1638.5,5666,556,484,361,838,1632,503,18326,432,404,1008,91,14990
UZ028_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2341,782,3162,31643,1029,1825,6211,556.5,432,386,923,2207,532,20598.5,401,423,1292,101,15071.5
UZ028_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1489,883,3235,29715.5,993,1831,6297,522,1115,367.5,1581,1920,505,20472,413,530.5,1319.5,91,14948
UZ028_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1174,824,2448.5,29842,896.5,1636,6438,598.5,447,418.5,891,1722,471.5,18395,408,474.5,1107,76,15182
UZ028_5_NaCl_phospho,1,,,,,,,,,1,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5712.5,985,4134,36051,969.5,2083,14207,703,469,389.5,1186,1676,422,21534,466,448.5,1993,89,14822
UZ028_5_IL1A_phospho,1,,,,,,,,,,1,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1868,822,2675,32508.5,1219.5,1767,10330,1193,452.5,419,935,2430,654,19364,429.5,436,1074,96,14853.5
UZ028_5_Teri_phospho,1,,,,,,,,,,,1,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2343.5,819.5,2574,31723.5,1015,1705,7307,628.5,449,394,965,1639,446,22226,426.5,414,1469,93,15023
UZ028_5_IL6_phospho,1,,,,,,,,,,,,1,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1898.5,851,15973.5,37736,1198,2207,6986,588,577,428,3698,2510,612.5,21257,481.5,475,1752,106.5,15235
