,TR:IB023:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
IB023_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2831.75,956.5,4512,33558,2499.75,2679.75,15665.8,639.75,487.5,410.75,723.75,4154,1010,23703,451,490,1275.75,106.5,16192
IB023_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2831.75,956.5,4512,33558,2499.75,2679.75,15665.8,639.75,487.5,410.75,723.75,4154,1010,23703,451,490,1275.75,106.5,16192
IB023_25_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,2831.75,956.5,4512,33558,2499.75,2679.75,15665.8,639.75,487.5,410.75,723.75,4154,1010,23703,451,490,1275.75,106.5,16192
IB023_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8429,1187,7680.5,42790,3854,3110.5,20310,580,545,435,906,9035,4158,25296,444,440.5,1779,94,15858
IB023_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4956,1044.5,5946.5,38890,2717,2429.5,13997,465,468.5,335,814,3680.5,796,17749,450.5,360,986.5,88.5,15901
IB023_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4997,1043,6703,40044,2944,2532,14282.5,554,474,421,917,3773,804,20518,473,459,1335,117,15902
IB023_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5998,966.5,6440,41913,2602,2520.5,15707,536,480.5,371,784,4373.5,770,21407,423,489,1516,117,16125
IB023_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7192,754,6957.5,44937,3085,1866.5,13240,471,430.5,246,747,5256,903,8802.5,349,341,1047,136.5,15933.5
IB023_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7675.5,928.5,7663,44406,3183,2477,16763,516,1645,415,1364.5,4996,951,20830,425,537,1357.5,122,15965
IB023_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6901,974.5,6917,44036.5,2565,2170.5,16324.5,434,531,364,896,3919.5,827,17125,470,334,1227,100,16103
