,TR:KI035:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
KI035_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1395.25,549.75,12985.3,38100,3001.5,4162.25,6073,1557.75,369,274.25,704,3485,595,17277.3,532,471.25,3974.5,123.25,16549
KI035_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1395.25,549.75,12985.3,38100,3001.5,4162.25,6073,1557.75,369,274.25,704,3485,595,17277.3,532,471.25,3974.5,123.25,16549
KI035_25_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1395.25,549.75,12985.3,38100,3001.5,4162.25,6073,1557.75,369,274.25,704,3485,595,17277.3,532,471.25,3974.5,123.25,16549
KI035_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1955,649,15166.5,40465,3704,5008,6982,1681,646,476.5,932,3502.5,856,26680.5,1111,743,6135,86.5,17118
KI035_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2129,345,14345,40372.5,2945,4501,5770.5,1506,439,356,796,3194.5,729,26830.5,624,481,3526,128,16783.5
KI035_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2116.5,NaN,14576,40049.5,3260.5,5464,6463,1771.5,436,277,NaN,3260,633,29345,662,542.5,5063.5,132,16610
KI035_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2946,432,14126.5,39496,2587,2749,6082.5,1391,425,245,515,2723,610.5,24685,821,457.5,4257,135,16539
KI035_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2498,NaN,13667,37800.5,3044.5,3850,4950,1561,388,286,452.5,2979,612,27753.5,797.5,481,4747,119,16127
KI035_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2061,530,15311,42126,3089,4459,5672,1449,2889,242,571,3218.5,454,18156.5,600.5,475.5,4014,118,16493
KI035_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1954,418,15715,39334,3693,4525.5,6231,1533.5,847,392,437,3331.5,706,28722,723,535.5,4393,102,16403
