,TR:CH049:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
CH049_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,943.5,363,4092,25786.3,1155,2357,1520.25,784.5,311.5,449,590.5,2773,454.25,24275.3,452,508,2450.5,121,17262
CH049_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,943.5,363,4092,25786.3,1155,2357,1520.25,784.5,311.5,449,590.5,2773,454.25,24275.3,452,508,2450.5,121,17262
CH049_25_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,943.5,363,4092,25786.3,1155,2357,1520.25,784.5,311.5,449,590.5,2773,454.25,24275.3,452,508,2450.5,121,17262
CH049_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1800,490.5,6734,31652,1848,3521,2894,865,457.5,544,720.5,6304,1424,32701.5,610.5,552,6583.5,91.5,17326
CH049_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1647,324.5,5625,29507,1254.5,2808.5,1950,673,304.5,412,592,3731,514.5,27073,443.5,462,4289,111,17279
CH049_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1385.5,365,5288.5,28584,1162.5,2510,1656.5,600.5,274,376.5,584,2365,344,24339,392,406,4567,112.5,17487
CH049_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1196,384,5222.5,29368,1183,2659,1689,643,313,422.5,620.5,2731,453,24731,441.5,503,4261,135,17187
CH049_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1429,387,5253,25815,1318,2923,1603,667,308,374,713.5,4492.5,720,30279.5,402.5,553,3262,94,17487
CH049_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1085,315.5,5514,27476,1217.5,2442,1680,761,1409,417.5,1739,3149,564,26531,480.5,619.5,2958,116.5,17372
CH049_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1385,348.5,4955,28653,1015,2357.5,2067,675.5,365.5,403,602,2593,426.5,23554,423,421,2954.5,87.5,17349
