,TR:UZ035:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
UZ035_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4774.75,965.25,8611.25,26588.5,2126,3791,9051.75,646.5,454.25,342.25,801.5,1884.75,514,28665.3,395,398,3319.25,108.25,15452.8
UZ035_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4774.75,965.25,8611.25,26588.5,2126,3791,9051.75,646.5,454.25,342.25,801.5,1884.75,514,28665.3,395,398,3319.25,108.25,15452.8
UZ035_25_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,4774.75,965.25,8611.25,26588.5,2126,3791,9051.75,646.5,454.25,342.25,801.5,1884.75,514,28665.3,395,398,3319.25,108.25,15452.8
UZ035_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6745.5,1082,8427,29265,2402,4214.5,10064,870,582,384,825,2643,888,29415.5,433,411.5,2901.5,89,15565
UZ035_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7363,1072,11089,35636,2405,4431,9898,904.5,551,381.5,863.5,2654,655,30211.5,520,475,4621,118.5,15984
UZ035_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8476,949,12338.5,32081,2436,4196,9476.5,699,423.5,331,903,2029,498,23564.5,426.5,450,5555,103.5,15552
UZ035_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8868,1004.5,8711,33235,2169,3587,11445.5,736,493,305.5,798.5,1979,485,24372.5,451,418,2656,98,15736.5
UZ035_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10414.5,1013.5,9817.5,26796,2247,3684,9445.5,655,471,305,831,2324,605.5,24834,464,402,2993,111,15632.5
UZ035_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8006,909,10583,28942,2198,4011,10216.5,706,1545,382,2596,2226,510,26669,497,323,4852,109.5,15416
UZ035_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8173,1023,10279,38821,2327,3880,12310,746.5,577,389.5,880,2361,547,24799.5,442,430,4215,107,15848
UZ035_5_NaCl_phospho,1,,,,,,,,,1,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,37690,1113,9928.5,24222.5,2350.5,3923,21303,939,451.5,348.5,806,5643,1842.5,28227,436,451.5,2416,100,15511
