,TR:IB035:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
IB035_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3555.5,593,7321.25,43361.8,1217.75,2931,17627,959.5,381.25,449,671,4102.75,812.5,27621.3,624.5,512.5,1539,111.75,15563.5
IB035_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3555.5,593,7321.25,43361.8,1217.75,2931,17627,959.5,381.25,449,671,4102.75,812.5,27621.3,624.5,512.5,1539,111.75,15563.5
IB035_25_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,3555.5,593,7321.25,43361.8,1217.75,2931,17627,959.5,381.25,449,671,4102.75,812.5,27621.3,624.5,512.5,1539,111.75,15563.5
IB035_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4413.5,727,6213,37066,1918,4223.5,16629,936,437,448,607,6585,3190.5,30107.5,597.5,510,1916,73,15581
IB035_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2035.5,684,2026,36454.5,521,1488.5,8904,2331,369,947.5,515,2214,488,11831,744,606,1193.5,78.5,15657
IB035_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4638,581,7277.5,44786.5,907,3866,17102,1369.5,420,526,881,4274.5,936,29011.5,773,475,1941,99.5,15494
IB035_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1961,555,2155,35762.5,443,1460,10337,2626,366,1038,596,2002.5,486,12404,890,570,1049,133,15165
IB035_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4143,546.5,6809,46645,1062.5,3111,15270,899,387,369.5,648.5,3499,670,27996,630,514,1510,113,15448
IB035_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3795,575,6827,46460,591,2618,17425,1294,1434.5,691,1065,3074,590,23841.5,688.5,637.5,1415,121,15555
IB035_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8142,497,2784.5,37159,453,1077,23957,1707.5,433.5,896,646.5,2329.5,479,14242,598,509,983.5,123.5,15602
IB035_5_NaCl_phospho,1,,,,,,,,,1,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10898,721,8008,42698,840,2719,25284,774,457,363.5,665,3427,848,28561.5,528.5,550,1629,97,15711
IB035_5_IL1A_phospho,1,,,,,,,,,,1,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4813,583.5,6964,38705,2133,3650,13753,1324,438,449,592,4940,1284,29023,632,590.5,1885,116.5,15879.5
IB035_5_Teri_phospho,1,,,,,,,,,,,1,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5904,577,6576,38324.5,1308,2430,10293.5,818,332,415.5,612,3386,740,28815.5,508.5,488,1458.5,91,15646.5
IB035_5_IL6_phospho,1,,,,,,,,,,,,1,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3765,545,24280,40690,1644,3356,10268,776,987.5,414,3686,4202.5,869,28411.5,583,492,1613,88,15730.5
IB035_5_INS_phospho,1,,,,,,,,,,,,,1,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3057,680,7139,50638,1214.5,6088,18718,2141,401.5,1076,852,5119.5,1211,24234,813,606.5,1791,106,15561
IB035_5_LPS_phospho,1,,,,,,,,,,,,,,1,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1984,661,2817,46137,746,2381.5,31620,6399,410.5,1369.5,629,3304,680,14951,1011,564,1407,90.5,15458
IB035_5_EGCG_phospho,1,,,,,,,,,,,,,,,1,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4398,560,769.5,20680,735.5,1095,11920.5,415,469.5,402.5,748.5,1522.5,546,4412,274,588,1556,99,15133
IB035_5_PolyIC_phospho,1,,,,,,,,,,,,,,,,1,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5053,648,7551,47694.5,965,3285,16987,1089.5,389,474,672,3883,767,28157.5,581,560,1629.5,91,15783
IB035_5_conA_phospho,1,,,,,,,,,,,,,,,,,1,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4783,660,7021,46322,1661,3773,13145,929,389,414,564,4436,876.5,28919,629,499,1736,139,16003
IB035_5_S1P1_phospho,1,,,,,,,,,,,,,,,,,,1,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2842,651,4341,43390,634,2788,15207,1510.5,322,767,563.5,3050,747,22930,851.5,496,1291.5,137,15622
IB035_5_TNFA_phospho,1,,,,,,,,,,,,,,,,,,,1,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3847.5,560.5,7877,45421,2589,3998,27707.5,4056,367,439,640,7636,1620,30038.5,540,567,1763.5,121,15680
IB035_5_vitD3_phospho,1,,,,,,,,,,,,,,,,,,,,1,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4101.5,591,7845,41036,1748,3561,10115,854,319.5,353,558,4347,1219.5,29704,518,451,1617,156,15308
IB035_5_DMF_phospho,1,,,,,,,,,,,,,,,,,,,,,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5150,547,9536.5,44683,2029.5,3764,14475,1033,466.5,394.5,841,4912.5,997.5,29773,520,492,1630,76.5,15549
IB035_25_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,4233.5,861,10250,39213,3453,6209,22157,1692.5,555,565.5,630,14512,8118,36501,862,630,2262,148,15903.5
IB035_25_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1619,667,7251,39975,1890,3929,19006.5,1646,376,402,655,6625,1588,31723,637.5,507.5,1730,93,15620
IB035_25_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1759,601,6829,38993.5,1584,3460.5,21452.5,2048,355,474.5,625.5,5568.5,1211,31008,636,493.5,2279.5,100,15929
IB035_25_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,2787,562,7325,43067,1016.5,2657.5,11995.5,1066,351,320,534,3276,665.5,27384.5,560,432,1449,90,15795
IB035_25_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1734,668,8305,37851,2055,3763.5,11412.5,1333,340,360.5,583,5213.5,1362.5,30384.5,549,464,1352,126,15362
IB035_25_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1736,514.5,7272,43021,1063,3319,21903,1643,3220,406.5,1231.5,4766,1039,27361.5,642,1187,1631,140.5,15292
IB035_25_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,2217,597,7732,44498,1071.5,3358,25296,1758,1607,363.5,571,5253,1078,28204,565,517,1378,94,15678
IB035_25_NaCl_phospho,1,,,,,,,,,1,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,4826,605,7981,42029,722.5,2233.5,22457,993,359.5,341,506,2749.5,593,26750,598,500,1533.5,129,15868
IB035_25_IL1A_phospho,1,,,,,,,,,,1,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,2116,576,7426,39167,1625,3836,14450.5,1388,394,467,589.5,5710.5,1489,30996.5,606.5,425,1695,91.5,15820
IB035_25_Teri_phospho,1,,,,,,,,,,,1,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1986,614,6108,40713,984,2493,22480,1757,381,340,553,5325,1141,30038.5,628,442.5,1695,170,15678
IB035_25_IL6_phospho,1,,,,,,,,,,,,1,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1975,583,21060.5,42675,1433,3716.5,18649,1502,1106,391,2832,6237,1525,29127,567,558,1641,146,15947.5
IB035_25_INS_phospho,1,,,,,,,,,,,,,1,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1783,552.5,7750,37551,3070.5,5723,21441,1869,376,498.5,567,8614,2391.5,32381,609.5,494,1683,98,15563
IB035_25_LPS_phospho,1,,,,,,,,,,,,,,1,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,4463,979,6161,42617.5,926.5,3957,56408,5610,391,772,623,14389,8343.5,30107.5,855,592.5,1604,150,15422
IB035_25_EGCG_phospho,1,,,,,,,,,,,,,,,1,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,6898,755,1556.5,26368.5,2536,2564,70463,3645.5,575.5,509,899,20795,13233,27534,444.5,562,2928,148,15426
IB035_25_PolyIC_phospho,1,,,,,,,,,,,,,,,,1,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,5299,891.5,9415.5,45398,1376,4646,46806,4000.5,500,611.5,771,16595,8317,32669.5,784,650,1774,128,15712
IB035_25_conA_phospho,1,,,,,,,,,,,,,,,,,1,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,2165.5,856,7423,32427,3543,5717,24649.5,2588,519,578,669,12980,5651,35936,893,553,2207,119.5,15522.5
IB035_25_S1P1_phospho,1,,,,,,,,,,,,,,,,,,1,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1905,672,6703,33374,2026.5,4013.5,12739.5,1529.5,428,375,579.5,5548,1517.5,33200.5,566,517,1705,152.5,15858
IB035_25_TNFA_phospho,1,,,,,,,,,,,,,,,,,,,1,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,3397.5,748,8858,37528,3220,5281,26853.5,2946,405,401,638,13912,6303,34274,559.5,452.5,1747,104.5,15362
IB035_25_vitD3_phospho,1,,,,,,,,,,,,,,,,,,,,1,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1588,556,7223.5,40921,1138.5,2752.5,10946.5,953.5,408.5,389.5,535,3139.5,699,29127,589.5,438,1463.5,103,15338
IB035_25_DMF_phospho,1,,,,,,,,,,,,,,,,,,,,,1,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1339,513,3884,37343,750,2851,34470,3484,431,817,682.5,6094,1834,21326,737,517,1317,110,15543.5
