,TR:IB001:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
IB001_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1727.75,488.75,4120.5,40857,1872.5,2278,8122.75,766,364,361.25,1211.5,3728,686,24604.3,400.5,380.75,1172.5,113.5,16500.5
IB001_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1727.75,488.75,4120.5,40857,1872.5,2278,8122.75,766,364,361.25,1211.5,3728,686,24604.3,400.5,380.75,1172.5,113.5,16500.5
IB001_25_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1727.75,488.75,4120.5,40857,1872.5,2278,8122.75,766,364,361.25,1211.5,3728,686,24604.3,400.5,380.75,1172.5,113.5,16500.5
IB001_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2256,861,4763,37420,3361,3097,11364,764,746,690,1220,6570,2933,28087.5,680,584,1815.5,114,16765
IB001_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2768.5,527,5124,43533,1794,2121,7253.5,613.5,385,272,1430,3257,544,23508,408.5,261,971,87,16509.5
IB001_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1856,434,4512,38066,1897,2253,6629,656.5,418,432,1531,2602,488,22366,413.5,487,1134.5,96,16726
IB001_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2349,486,4952,42080,1766.5,2335,7572,571,431,537,1204,3056,604,19736.5,391,360,1277,121,17256
IB001_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2859,512,5913,44110,2175,2129,7255,600,379,424,1430,3457,660.5,24385,369,353,1371,110.5,16533.5
IB001_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2287,479,5966,40649,1785,1976,7568.5,622,1027,478.5,1718,3509,673.5,20671,383,561,1294,112,16829.5
IB001_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2527,519,5932,43464,1917,2118,8176,583,475,320.5,1605.5,3146,543,23462.5,391.5,476,1420,101.5,16793
