,TR:KI051:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
KI051_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5176.5,501.25,11615.3,36910.3,1218,4209,7597,916.25,431.5,416.75,531,2532.75,474.5,26784,513.75,503.5,6451.75,108,15606.8
KI051_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5176.5,501.25,11615.3,36910.3,1218,4209,7597,916.25,431.5,416.75,531,2532.75,474.5,26784,513.75,503.5,6451.75,108,15606.8
KI051_25_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,5176.5,501.25,11615.3,36910.3,1218,4209,7597,916.25,431.5,416.75,531,2532.75,474.5,26784,513.75,503.5,6451.75,108,15606.8
KI051_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6730,550,12070,41382,1283,4367,10575,968,445.5,403,656,2874,541,26773,519,541,6703,113,15737.5
KI051_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5406,463,11714,39951,1364.5,4422,9143,990,406,442,661.5,2696,504,26265,526.5,542.5,6539,114,15567
KI051_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6072,544.5,10997.5,42629,1345,4442,9350,997,445.5,488,543.5,2580,459,24384,526,556,8259,71,15765
KI051_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7684,543.5,11890,39951,1226,4485,9099,981.5,391.5,388.5,702,2654,564,27499.5,564,646,6760,118,15698
KI051_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6189,489,10674,44198,1353,4324,9604,1109.5,419,484,683.5,3006.5,572,24511,633,526,6627,124,15679.5
KI051_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7969,502,12453.5,38878.5,1494,4625,9317,902,1059.5,374,1001,3004.5,601,27234,492,612,6347,122,15454
KI051_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7366,511.5,12229,40598,1325.5,4198,9613.5,1042.5,479,423,669,2536,440,26738,497,518,6176,116,15546
KI051_5_NaCl_phospho,1,,,,,,,,,1,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,24834,497,14459,45906,1108,5964,29981,1692.5,449,428,788,3596.5,593.5,30915.5,490,591,7102,110,15554
KI051_5_IL1A_phospho,1,,,,,,,,,,1,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4082,485.5,10968.5,46875,1222.5,4376.5,13489.5,2175,403.5,475,714.5,2929,473,25711,597.5,559,7554,113,15885
KI051_5_Teri_phospho,1,,,,,,,,,,,1,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5253.5,565,11289.5,50961,795.5,4265,14578,1243,426,485,644,2706,453.5,25030.5,673,555,8314.5,120.5,15988
KI051_5_IL6_phospho,1,,,,,,,,,,,,1,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5856,514,36997,36120,1687,5016,7813,855,2014,397,3409,3481.5,660,25226,526.5,654,6271,97.5,15690.5
