,TR:CH025:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
CH025_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3489.5,511.5,3225,28342,1158.5,2497.5,4093,773.5,350.5,539.75,548.5,1900.5,455.25,21389.5,628,440,3434.75,112.25,16235.5
CH025_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3489.5,511.5,3225,28342,1158.5,2497.5,4093,773.5,350.5,539.75,548.5,1900.5,455.25,21389.5,628,440,3434.75,112.25,16235.5
CH025_25_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,3489.5,511.5,3225,28342,1158.5,2497.5,4093,773.5,350.5,539.75,548.5,1900.5,455.25,21389.5,628,440,3434.75,112.25,16235.5
CH025_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4072,624,2951.5,22618,1217.5,2549,3706,654,501,569.5,579,2640,681,22849,708.5,589.5,2532,108,16060
CH025_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4481.5,501.5,3086,25007.5,1209,2501,3782.5,664.5,320,485.5,499,2364,462,23888,621,367,2944.5,112.5,16120
CH025_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5584,533,3465,30361.5,1181,2458,4050,678.5,322,470.5,533,1956,373,22422,558,416.5,3969,153,16172
CH025_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5543.5,567,4177.5,26450,1141,2507,4411,765.5,388.5,532,605,2485,465,27269,643,438,3498,139,16349.5
CH025_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,16428.5,579,3631,19895,1187,2313,8689.5,787.5,368,637,512,2711.5,715,18614,618,440,2995.5,109,15977
CH025_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4178.5,552.5,4795,28088,1201,2470.5,3479,753,3406,527.5,2233,2209,453.5,22965,571,660,2862.5,117,16091
CH025_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4716,541.5,3961,44498,1020,2421,6303,672,403,369,682,2267,444,19318,586,451,3529,132,16641
CH025_5_NaCl_phospho,1,,,,,,,,,1,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1912,602.5,2806.5,20934,1023,2399,2688.5,638,384,473,532,1548.5,407.5,24695.5,563,503,2930,111,16502
CH025_5_IL1A_phospho,1,,,,,,,,,,1,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2121,539,4931.5,32762,1283,3270.5,2867,779,368,549,682.5,2440,492,24603,680,387.5,6582.5,126,16569
CH025_5_Teri_phospho,1,,,,,,,,,,,1,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6343,540,4120,28769.5,1225,2574.5,4024,796,386.5,591,567,2163,417,26704,799,401,4528,140,16330
