,TR:UZ027:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
UZ027_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6070,491.75,7625,28976,2652.5,2836,5634.5,872,352.25,413.25,716,5558.75,891,31571,545,492.5,3488.5,115.5,17123.8
UZ027_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6070,491.75,7625,28976,2652.5,2836,5634.5,872,352.25,413.25,716,5558.75,891,31571,545,492.5,3488.5,115.5,17123.8
UZ027_25_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,6070,491.75,7625,28976,2652.5,2836,5634.5,872,352.25,413.25,716,5558.75,891,31571,545,492.5,3488.5,115.5,17123.8
UZ027_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11693,590,9410,30094.5,2811,3121.5,5799,794,433,541.5,770,4100,791,33762.5,637,448,4949,128,17533
UZ027_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9837,459,7470,28387.5,2378,2665,4610,641,321,436,667,3185,525.5,28722,485,523,3455,106,17441
UZ027_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11405,451.5,10894,36992.5,2264,3130.5,4474,582,298,432,773,2896,408,29068,504,521,7106,122,17244.5
UZ027_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8817,477.5,7970,28053,2195,2619.5,4492,665,354,403,666,3188,526,30187,488,534.5,3368.5,125,17279
UZ027_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11313,470,9367.5,33544,2408,2855,3972,514,401,434,831,3443.5,493,27822,553,549.5,4858.5,93,17072
UZ027_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8344,430.5,8990.5,32852,2208,3017.5,4507,526,1137,418,1708,3834,606.5,26877,474,501,4428.5,152,17856
UZ027_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11298,480,8367,28756.5,2070,2563,4858,481,476,453.5,809.5,3220.5,530,25377,480.5,402,2541,99,17326
