,TR:IB058:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
IB058_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1954.5,844.5,2603.75,28053.5,3622.5,3304.5,19133.5,1208.75,395.5,395,725,2850.5,697.5,24672.5,652.25,422.25,2194.5,119.75,16507.3
IB058_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1954.5,844.5,2603.75,28053.5,3622.5,3304.5,19133.5,1208.75,395.5,395,725,2850.5,697.5,24672.5,652.25,422.25,2194.5,119.75,16507.3
IB058_25_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1954.5,844.5,2603.75,28053.5,3622.5,3304.5,19133.5,1208.75,395.5,395,725,2850.5,697.5,24672.5,652.25,422.25,2194.5,119.75,16507.3
IB058_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5555,1283,2729,34331.5,4649,4424.5,20126,1605,506,552,758.5,4313.5,1011,22411,1390,519,4697,86.5,16664
IB058_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4292.5,1152.5,2121.5,29058,3583.5,2802.5,19641,1309.5,542.5,625,695.5,3080,552,17402,1672,482.5,2385,132.5,16699
IB058_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3492,725.5,1220,22906.5,2350,1902,16217,725.5,407.5,NaN,548,1644.5,381,8841,895,351,1541,93,16548
IB058_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4224,846,1832.5,28712,2904,2016,17864,1215,451.5,498,496.5,2531,482.5,14036,1091,395.5,2050,118,16733
IB058_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3719,767,1894,25665,3974,2860.5,17749,994,405,678,663.5,3181,643,15038,725.5,386.5,2022,134,16691
IB058_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3862.5,870.5,2327,27788,3938,3325.5,17979,1114,887,347,1027,3237,607,15981,822,449,2042,88,16825
IB058_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3442,786.5,2151,31458,3867,4255,17679,1382.5,362,314.5,537.5,3238,542,18602.5,642.5,373,3015,92,16411
IB058_5_NaCl_phospho,1,,,,,,,,,1,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6824,839,3692,28850,2396,2276,21983.5,1344.5,421,419,703,1661,385.5,25976.5,792,625,2382,122,16318
IB058_5_IL1A_phospho,1,,,,,,,,,,1,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2105,1135.5,2434,27950,3463.5,4318,18302,1778,366,429,822,2840,622,25850,1122,530,1731,90,16225
IB058_5_Teri_phospho,1,,,,,,,,,,,1,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2834,824,2370.5,26576.5,3378,2489,18752.5,1045,390.5,264,623,2221,491,21741,532.5,313,1474,125,16629.5
IB058_5_IL6_phospho,1,,,,,,,,,,,,1,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2126,1047,4668,28388,4449,4578.5,18049,1355,416,364,1098,3432,718,27627,784,351,2274,127,16744.5
IB058_5_INS_phospho,1,,,,,,,,,,,,,1,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3337,1008,1924,22665,5394,4549,19698.5,921.5,420,357,675,2864.5,731.5,21672,532.5,362,2202.5,89,16456
IB058_5_LPS_phospho,1,,,,,,,,,,,,,,1,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2843.5,858,2133.5,25630.5,3421,2665,19687,1184.5,309.5,NaN,NaN,2378,532.5,18579,472,411,NaN,130,16294.5
IB058_5_EGCG_phospho,1,,,,,,,,,,,,,,,1,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5440,888,1234,16481,4693,2049.5,32935,937,614,NaN,NaN,1535,529,25480,673,389,3846,139.5,16018.5
IB058_5_PolyIC_phospho,1,,,,,,,,,,,,,,,,1,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3256,916,2574,28942,4708,3896,19249,1470,390,453,869.5,3230,652.5,23368.5,650.5,392,2379.5,139,16502
IB058_5_conA_phospho,1,,,,,,,,,,,,,,,,,1,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2613,1043,2755.5,28019,4548,4013,19987,1335,436.5,431,783,3608,831.5,26311,497.5,462.5,2213,146,16733
IB058_5_S1P1_phospho,1,,,,,,,,,,,,,,,,,,1,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2300.5,922,2661,27407.5,4591,4687,18798.5,1351,368.5,387,648,3491.5,816,27742,665,486.5,2199,105,16409
IB058_5_TNFA_phospho,1,,,,,,,,,,,,,,,,,,,1,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2292,989,3058,29496,4566.5,4455,19087,1502,411,439,810,4070,954,26103.5,749,421,2646,123,16456
