,TR:KI043:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
KI043_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4893.5,504.5,9521.5,37159,1702,4744.25,9146.75,1352,375,393,573,2408,623.5,26265.3,497.75,400.25,5694.5,131.25,15438
KI043_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4893.5,504.5,9521.5,37159,1702,4744.25,9146.75,1352,375,393,573,2408,623.5,26265.3,497.75,400.25,5694.5,131.25,15438
KI043_25_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,4893.5,504.5,9521.5,37159,1702,4744.25,9146.75,1352,375,393,573,2408,623.5,26265.3,497.75,400.25,5694.5,131.25,15438
KI043_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6645,489,9599,35751,1590,4737,8576,948,415,419,500.5,1499,729.5,23437.5,509.5,516.5,5807.5,107.5,15529.5
KI043_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7447,510,10542.5,37205,1606,5185,9472,1169,413,477,678.5,2388,853,26576.5,493.5,500,5766,138.5,15606
KI043_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7672.5,561,9484.5,37862.5,1390,4740,8481.5,785,457,370,751,1941,446,26207.5,472.5,440,7496,92,15479
KI043_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7065.5,602,9050,36420,1496.5,4646,8411,967,433,381,549,2421.5,522.5,25688,510,472,5636,120,15479
KI043_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7316.5,507,9791,41959,1590,4866,6992,1235,396.5,311,584,1937,727,24430.5,422,456.5,5410,82,15497
KI043_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7704,566,10633,43275,1612,5150,9874,1151,1162,367,1421.5,3122,819,26219,554,543,5659,114.5,15526
KI043_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7500,522,9655,47037,1492,4548,12612.5,1181,400,378,694,2343,586,25896,590,473,5628.5,148,15737.5
