,TR:IB061:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
IB061_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1191,614.5,1229.25,24702.3,2675.5,2546,13635.5,1058.25,365.5,584.75,568,2130,641.75,15829.5,689,410.25,1381.25,110.75,16772
IB061_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1191,614.5,1229.25,24702.3,2675.5,2546,13635.5,1058.25,365.5,584.75,568,2130,641.75,15829.5,689,410.25,1381.25,110.75,16772
IB061_25_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1191,614.5,1229.25,24702.3,2675.5,2546,13635.5,1058.25,365.5,584.75,568,2130,641.75,15829.5,689,410.25,1381.25,110.75,16772
IB061_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2459,638,1569,22655,2924,2630.5,13608,712,403,348,506,2783,1386,18836.5,417,479,1244,77,16564
IB061_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2172,680.5,1373.5,23854,2824,2496,12529,690.5,303.5,369,582,2478,696,16910,462,370,1300,91,16414.5
IB061_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2488.5,589,1386,25585,2553,2292.5,12212,682.5,309.5,317.5,597,1836.5,419,15898,376,327,1749,92.5,16933
IB061_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2452,616,1186,25503.5,2721,2489,12206.5,752,293,395,548,2005,510.5,17648.5,361,377.5,1324,123,16518
IB061_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2251,542.5,1530,25400,2848,2465.5,13019,715.5,346,368,580,2406,548,17787,378.5,403,1346.5,104.5,16818
IB061_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1955,578,1900,26149.5,2469.5,2659.5,12119,689.5,1270.5,303,1509,2195,608,18341,411,732.5,1369,79.5,16933
IB061_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1858,551.5,1270,24846,2195,2377,12471.5,701,336,386,520.5,1729.5,468,17533,390,339,1111,85,16679.5
IB061_5_NaCl_phospho,1,,,,,,,,,1,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2976,845,1887,26415,2182,2267,16980,885,416.5,352,717,1487,474,24546.5,557,487,1431.5,107.5,16772
IB061_5_IL1A_phospho,1,,,,,,,,,,1,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2107,692,1626,30775,3228,3293,14772,2572,342.5,340.5,592,3416.5,1058,22158.5,529,353,1943,104.5,17095
IB061_5_Teri_phospho,1,,,,,,,,,,,1,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2701,613,1246.5,27407,2246,2143,13968,806.5,337,350,596.5,1759.5,485,20071,387.5,381.5,1655.5,95,16910
IB061_5_IL6_phospho,1,,,,,,,,,,,,1,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2435,621.5,7634,28099,3391,2745,14099,820,653,301,3398,2543,904,20509,471,555.5,1359,100,16650
