,TR:UZ016:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
UZ016_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2882.25,673.75,2929.25,28284.5,1244,2263.75,6308.5,893.5,433.75,544.25,767.5,2243,548.5,23616.5,610,448.25,1611,119,15153.5
UZ016_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2882.25,673.75,2929.25,28284.5,1244,2263.75,6308.5,893.5,433.75,544.25,767.5,2243,548.5,23616.5,610,448.25,1611,119,15153.5
UZ016_25_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,2882.25,673.75,2929.25,28284.5,1244,2263.75,6308.5,893.5,433.75,544.25,767.5,2243,548.5,23616.5,610,448.25,1611,119,15153.5
UZ016_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3993,835.5,1955.5,26992.5,1240,2271,6454.5,726.5,478.5,711.5,721.5,1995,617,25273,678,402,1481,85,15469
UZ016_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4043,592.5,1941,25803,1275.5,2145,6271.5,720,341,514,664.5,1774,409,27222.5,589.5,415,1622,111,14948
UZ016_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4790,642,3160,36085.5,1412,2573.5,6979,873,375.5,568,772,1756,396.5,27142,597,489.5,2834,99.5,15013
UZ016_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4261.5,583,2011,25688,1175,2104,5750,712,399,515,724,1749,464,22665,528,354.5,1424.5,100.5,15401
UZ016_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4036.5,617.5,2043.5,26784.5,1346,2124,5517,722,320.5,526,592,1620.5,437.5,23426,609.5,411.5,1580,96.5,15263.5
UZ016_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3642,673,2804,26657,1239.5,2308,5418,759,1662,580.5,1720,1649,494,24696,552,720,1447,95,15407
UZ016_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4454.5,690,2816.5,33766,1209.5,2323,6738.5,742,488,540,783,1714,508,22987.5,611,511,2036,67,15535.5
