,TR:CH053:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
CH053_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7828.5,1037,3814.5,36801.5,1499,3286.25,14433,839.25,454,374,843,2302.25,442.5,28659.8,439.25,442.5,3024.5,107,16097.5
CH053_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7828.5,1037,3814.5,36801.5,1499,3286.25,14433,839.25,454,374,843,2302.25,442.5,28659.8,439.25,442.5,3024.5,107,16097.5
CH053_25_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,7828.5,1037,3814.5,36801.5,1499,3286.25,14433,839.25,454,374,843,2302.25,442.5,28659.8,439.25,442.5,3024.5,107,16097.5
CH053_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9819,1489,4512,40609.5,1849,3771,17241,897,632,652,1004.5,2940.5,596,28954,696,483.5,4613,93,16213
CH053_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2508,634,660,16801,631,828,4303.5,619,728.5,420,802,697,417,6844,366.5,543,861,131,16133
CH053_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,12116,1098.5,4140,37343,1516,3406,15329,779,419,392.5,945,2023.5,371,28723,393,503.5,4030,131.5,16190
CH053_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11013.5,860,4710,33604,1508.5,3353,16217,649.5,373,354,798,1340,579.5,20945.5,375.5,290.5,3166,120,15957
CH053_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,21534,1062,4959,30927,1602,3053,29404,724,442.5,445,771,2665.5,522.5,20333,449,NaN,3604.5,132,16248
CH053_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,12182.5,1100,4630,42029,1491,3529.5,21522.5,926,1006,496,1599.5,2522,466,26692,433.5,523.5,3655,124,16402
CH053_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10390,968,3929.5,41163.5,1171.5,2974,21949,814,433,401,851.5,2012,385,24696,440,428,3092,111.5,16271
CH053_5_NaCl_phospho,1,,,,,,,,,1,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,12815,1137.5,5440.5,39616.5,1471,3848.5,22364.5,850,476.5,372,964,1793,349.5,27350,435.5,458,3027,139.5,16032.5
CH053_5_IL1A_phospho,1,,,,,,,,,,1,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9324,1315,3949,41959,1730,3631,19780,3449,592.5,510,1043,3207,571,29935,620.5,402,4198,132,16110
CH053_5_Teri_phospho,1,,,,,,,,,,,1,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,12525,1050,3815,37620,1485.5,3133,17495,749.5,396,332,825,2302,500,29150,433.5,363,3843,114,16049
CH053_5_IL6_phospho,1,,,,,,,,,,,,1,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10598.5,1048,17321.5,39628,1717,3886,15413,903,693,361.5,6014,3271,588.5,30027,477,434,3992,105,16275
CH053_5_INS_phospho,1,,,,,,,,,,,,,1,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11039,1043,3927,28665,1849,4795,15142.5,714,436.5,396,796.5,4117,757,30142,421,372,3191,128,15807.5
CH053_5_LPS_phospho,1,,,,,,,,,,,,,,1,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,12749.5,1050,3671,30858,1651,3729,16687,890,418,262.5,749,3038,585,28850,389,325,2862,129,15981
CH053_5_EGCG_phospho,1,,,,,,,,,,,,,,,1,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,14345,627,1100.5,21834,1528,1095,42236,570,615,308,667,1125,335,19895,329.5,285,1149.5,136,15629
CH053_5_PolyIC_phospho,1,,,,,,,,,,,,,,,,1,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8511,990.5,3135,40978.5,1115,3477.5,23380,1295,567.5,517,1011,2916,614,24580,510.5,402.5,2249,121,16268
CH053_5_conA_phospho,1,,,,,,,,,,,,,,,,,1,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11261,1119,3273.5,32831.5,1602.5,3674,14163,759.5,453,406.5,835,2810,601,32070,454,350,2733,132.5,15990
CH053_5_S1P1_phospho,1,,,,,,,,,,,,,,,,,,1,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,12316,935,3199,33720,1477,3235.5,15291,693.5,409,363,771,2937,553,29473,373,507,2646,119.5,15940
CH053_5_TNFA_phospho,1,,,,,,,,,,,,,,,,,,,1,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9642,1015,3594,42098,1598,3654,19733,4863,474.5,349,808,3127,487,31781,438,387,3943,148,16158
CH053_5_vitD3_phospho,1,,,,,,,,,,,,,,,,,,,,1,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11691.5,1054,3803,33397,1642,3326.5,14667,780,388,343,799,2760,523.5,29807.5,428.5,490,3276,73,16068
CH053_5_DMF_phospho,1,,,,,,,,,,,,,,,,,,,,,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11374,1020.5,3473,36582,1412,2874,15933,808,404,306,778,2091,378,27592,371.5,495,2554,111.5,16006.5
CH053_25_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,4529,610.5,1999,32162,1080,2323,14816,918,563,385,767,3634,1079,21822.5,494,637,2017.5,98,16387.5
CH053_25_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,5103,1051,3476,39224.5,1462,3309.5,15374,1688.5,354.5,399.5,738,2802,510.5,28088,366.5,348,2796,87,15677
CH053_25_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,5309.5,1051.5,3734,39074,1519,3065,12470,1063.5,340,366,803,1816,357,27996,439,384,4006.5,148.5,15908
CH053_25_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,5423,961,3787,29796,1372.5,2488,11129,689.5,399.5,317,806,1885,394.5,29473,409,391,2439,113,15867
CH053_25_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,17056,1218,4119,37793.5,1241.5,2711,14894,1082,459.5,358,764,2760.5,446,NaN,487,NaN,2544.5,121,15696
CH053_25_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,5187.5,1002,5866,31250,1489.5,3289,12481,896.5,3316,549,3954.5,2460,490,30650,463.5,703,3905,109.5,14590
CH053_25_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,5345.5,1112,4628,36443,1391,3034.5,12684,964,920,399,873.5,2292,443,26080,442.5,469,2922,115.5,15566
